point spacing  (mm),zone,max crusing speed (mm/s)
0.1,z0,12.49
0.1,z1,12.49
0.1,z5,12.49
0.2,z0,24.98
0.2,z1,24.98
0.2,z5,24.98
0.3,z0,37.47
0.3,z1,37.47
0.3,z5,37.47
0.4,z0,49.96
0.4,z1,49.96
0.4,z5,49.95
0.5,z0,62.44
0.5,z1,62.44
0.5,z5,62.44
0.6,z0,74.93
0.6,z1,74.93
0.6,z5,74.93
0.7,z0,74.93
0.7,z1,87.42
0.7,z5,87.42
0.8,z0,74.93
0.8,z1,99.9
0.8,z5,99.91
0.9,z0,74.93
0.9,z1,112.39
0.9,z5,112.39
1,z0,74.93
1,z1,124.88
1,z5,124.88
1.1,z0,74.93
1.1,z1,137.37
1.1,z5,137.37
1.2,z0,74.93
1.2,z1,149.85
1.2,z5,149.85
1.3,z0,74.93
1.3,z1,162.34
1.3,z5,162.34
1.4,z0,74.93
1.4,z1,174.83
1.4,z5,174.83
1.5,z0,81.2
1.5,z1,187.32
1.5,z5,187.32
1.6,z0,90.49
1.6,z1,199.81
1.6,z5,199.8
1.7,z0,100.05
1.7,z1,212.29
1.7,z5,212.29
1.8,z0,109.51
1.8,z1,224.78
1.8,z5,224.78
1.9,z0,118.88
1.9,z1,237.27
1.9,z5,237.27
2,z0,128.16
2,z1,249.75
2,z5,249.75
2.1,z0,137.33
2.1,z1,249.75
2.1,z5,262.24
2.2,z0,146.42
2.2,z1,249.76
2.2,z5,274.73
2.3,z0,155.41
2.3,z1,249.75
2.3,z5,287.22
2.4,z0,164.31
2.4,z1,249.75
2.4,z5,299.7
2.5,z0,173.12
2.5,z1,280.72
2.5,z5,312.19
2.6,z0,181.84
2.6,z1,249.75
2.6,z5,324.68
2.7,z0,190.48
2.7,z1,249.76
2.7,z5,337.17
2.8,z0,199.03
2.8,z1,249.75
2.8,z5,349.65
2.9,z0,207.49
2.9,z1,249.75
2.9,z5,362.14
3,z0,215.86
3,z1,249.75
3,z5,374.63
3.1,z0,224.16
3.1,z1,249.75
3.1,z5,387.11
3.2,z0,232.39
3.2,z1,249.76
3.2,z5,399.6
3.3,z0,240.51
3.3,z1,249.75
3.3,z5,412.09
3.4,z0,248.57
3.4,z1,249.75
3.4,z5,424.58
3.5,z0,256.53
3.5,z1,249.75
3.5,z5,437.07
3.6,z0,264.42
3.6,z1,249.76
3.6,z5,449.55
3.7,z0,272.24
3.7,z1,249.76
3.7,z5,462.04
3.8,z0,279.99
3.8,z1,249.75
3.8,z5,474.53
3.9,z0,287.65
3.9,z1,249.75
3.9,z5,487.01
4,z0,295.25
4,z1,249.75
4,z5,499.5
4.1,z0,302.76
4.1,z1,249.75
4.1,z5,511.99
4.2,z0,310.2
4.2,z1,249.75
4.2,z5,524.48
4.3,z0,317.58
4.3,z1,249.75
4.3,z5,536.96
4.4,z0,324.89
4.4,z1,249.75
4.4,z5,549.45
4.5,z0,332.18
4.5,z1,249.75
4.5,z5,561.94
4.6,z0,339.37
4.6,z1,249.75
4.6,z5,574.43
4.7,z0,346.5
4.7,z1,249.75
4.7,z5,586.91
4.8,z0,353.59
4.8,z1,249.75
4.8,z5,599.4
4.9,z0,360.59
4.9,z1,249.75
4.9,z5,611.89
5,z0,367.53
5,z1,249.75
5,z5,624.38
