Continuity Violations Report: Traj_41_[1-145]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 145

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=1.2431, Ratio=1.98x limit
  Segment 0: Magnitude=2.4696, Ratio=2.86x limit
  Segment 0: Magnitude=1.5087, Ratio=0.86x limit
  Segment 0: Magnitude=2.4713, Ratio=1.71x limit
  Segment 1: Magnitude=0.5443, Ratio=0.87x limit
  Segment 1: Magnitude=1.1749, Ratio=1.36x limit
  Segment 23: Magnitude=0.5633, Ratio=0.90x limit
  Segment 23: Magnitude=0.9951, Ratio=1.15x limit
  Segment 23: Magnitude=1.3439, Ratio=0.93x limit
  Segment 24: Magnitude=0.7353, Ratio=1.17x limit
  Segment 24: Magnitude=1.1463, Ratio=1.33x limit
  Segment 24: Magnitude=1.6543, Ratio=1.14x limit
  Segment 25: Magnitude=0.7975, Ratio=1.27x limit
  Segment 25: Magnitude=1.2298, Ratio=1.43x limit
  Segment 25: Magnitude=1.8601, Ratio=1.28x limit
  Segment 26: Magnitude=0.9866, Ratio=1.57x limit
  Segment 26: Magnitude=1.3973, Ratio=1.62x limit
  Segment 26: Magnitude=1.7332, Ratio=0.99x limit
  Segment 26: Magnitude=2.2790, Ratio=1.57x limit
  Segment 27: Magnitude=1.1316, Ratio=1.80x limit
  Segment 27: Magnitude=1.5444, Ratio=1.79x limit
  Segment 27: Magnitude=1.9724, Ratio=1.13x limit
  Segment 27: Magnitude=2.7006, Ratio=1.86x limit
  Segment 28: Magnitude=1.1255, Ratio=1.79x limit
  Segment 28: Magnitude=1.4841, Ratio=1.72x limit
  Segment 28: Magnitude=1.9766, Ratio=1.13x limit
  Segment 28: Magnitude=2.8189, Ratio=1.95x limit
  Segment 29: Magnitude=1.3039, Ratio=2.08x limit
  Segment 29: Magnitude=1.6547, Ratio=1.92x limit
  Segment 29: Magnitude=2.1643, Ratio=1.24x limit
  Segment 29: Magnitude=3.2571, Ratio=2.25x limit
  Segment 30: Magnitude=1.1607, Ratio=1.85x limit
  Segment 30: Magnitude=1.6806, Ratio=1.95x limit
  Segment 30: Magnitude=2.0049, Ratio=1.15x limit
  Segment 30: Magnitude=3.4276, Ratio=2.37x limit
  Segment 31: Magnitude=1.1523, Ratio=1.83x limit
  Segment 31: Magnitude=1.6572, Ratio=1.92x limit
  Segment 31: Magnitude=2.0837, Ratio=1.19x limit
  Segment 31: Magnitude=3.6434, Ratio=2.52x limit
  Segment 32: Magnitude=1.2731, Ratio=2.03x limit
  Segment 32: Magnitude=1.9846, Ratio=2.30x limit
  Segment 32: Magnitude=2.2225, Ratio=1.27x limit
  Segment 32: Magnitude=4.0741, Ratio=2.81x limit
  Segment 33: Magnitude=1.2779, Ratio=2.03x limit
  Segment 33: Magnitude=2.0187, Ratio=2.34x limit
  Segment 33: Magnitude=2.5388, Ratio=1.45x limit
  Segment 33: Magnitude=4.5116, Ratio=3.11x limit
  Segment 34: Magnitude=1.1759, Ratio=1.87x limit
  Segment 34: Magnitude=2.1421, Ratio=2.48x limit
  Segment 34: Magnitude=2.7342, Ratio=1.57x limit
  Segment 34: Magnitude=4.7808, Ratio=3.30x limit
  Segment 35: Magnitude=1.4705, Ratio=2.34x limit
  Segment 35: Magnitude=2.3927, Ratio=2.78x limit
  Segment 35: Magnitude=3.4199, Ratio=1.96x limit
  Segment 35: Magnitude=5.3785, Ratio=3.71x limit
  Segment 36: Magnitude=1.3849, Ratio=2.20x limit
  Segment 36: Magnitude=2.5827, Ratio=3.00x limit
  Segment 36: Magnitude=3.9433, Ratio=2.26x limit
  Segment 36: Magnitude=5.8366, Ratio=4.03x limit
  Segment 37: Magnitude=1.5135, Ratio=2.41x limit
  Segment 37: Magnitude=2.3436, Ratio=2.72x limit
  Segment 37: Magnitude=4.7724, Ratio=2.73x limit
  Segment 37: Magnitude=6.0600, Ratio=4.18x limit
  Segment 38: Magnitude=1.2453, Ratio=1.98x limit
  Segment 38: Magnitude=2.2402, Ratio=2.60x limit
  Segment 38: Magnitude=4.7208, Ratio=2.70x limit
  Segment 38: Magnitude=5.6754, Ratio=3.92x limit
  Segment 39: Magnitude=1.4104, Ratio=2.24x limit
  Segment 39: Magnitude=2.2623, Ratio=2.62x limit
  Segment 39: Magnitude=5.7464, Ratio=3.29x limit
  Segment 39: Magnitude=6.3634, Ratio=4.39x limit
  Segment 40: Magnitude=1.1175, Ratio=1.78x limit
  Segment 40: Magnitude=2.1117, Ratio=2.45x limit
  Segment 40: Magnitude=4.8728, Ratio=2.79x limit
  Segment 40: Magnitude=5.0174, Ratio=3.46x limit
  Segment 41: Magnitude=0.5540, Ratio=0.88x limit
  Segment 41: Magnitude=1.0101, Ratio=1.17x limit
  Segment 41: Magnitude=5.1318, Ratio=2.94x limit
  Segment 41: Magnitude=4.8218, Ratio=3.33x limit
  Segment 42: Magnitude=0.6690, Ratio=1.06x limit
  Segment 42: Magnitude=1.4240, Ratio=1.65x limit
  Segment 42: Magnitude=3.6871, Ratio=2.11x limit
  Segment 42: Magnitude=3.3162, Ratio=2.29x limit
  Segment 43: Magnitude=3.1031, Ratio=1.78x limit
  Segment 43: Magnitude=2.3934, Ratio=1.65x limit
  Segment 44: Magnitude=2.0908, Ratio=1.20x limit
  Segment 44: Magnitude=1.4044, Ratio=0.97x limit
  Segment 45: Magnitude=0.6047, Ratio=0.96x limit
  Segment 45: Magnitude=1.7220, Ratio=0.99x limit
  Segment 47: Magnitude=0.8095, Ratio=1.29x limit
  Segment 48: Magnitude=1.3756, Ratio=1.60x limit
  Segment 48: Magnitude=1.7734, Ratio=1.02x limit
  Segment 48: Magnitude=2.5990, Ratio=1.79x limit
  Segment 49: Magnitude=0.8870, Ratio=1.03x limit
