Continuity Violations Report: Traj_2_[1-62]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 62

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 55: Magnitude=4.4292, Type=large_step, Details=Step norm 253.8° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 55: Magnitude=141.9634, Type=velocity_limit, Ratio=16.27x limit
  Segment 55: Magnitude=41.9655, Type=velocity_limit, Ratio=5.79x limit
  Segment 55: Magnitude=141.5346, Type=velocity_limit, Ratio=11.80x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=8.2587, Ratio=9.28x limit
  Segment 0: Magnitude=1.8829, Ratio=3.00x limit
  Segment 0: Magnitude=4.6860, Ratio=5.43x limit
  Segment 0: Magnitude=63.3150, Ratio=36.28x limit
  Segment 0: Magnitude=8.4790, Ratio=5.85x limit
  Segment 0: Magnitude=64.5358, Ratio=26.91x limit
  Segment 1: Magnitude=7.4941, Ratio=8.42x limit
  Segment 1: Magnitude=3.2628, Ratio=5.19x limit
  Segment 1: Magnitude=7.0711, Ratio=8.20x limit
  Segment 1: Magnitude=62.9369, Ratio=36.06x limit
  Segment 1: Magnitude=7.3415, Ratio=5.07x limit
  Segment 1: Magnitude=60.6250, Ratio=25.28x limit
  Segment 2: Magnitude=1.7518, Ratio=1.97x limit
  Segment 2: Magnitude=3.6506, Ratio=5.81x limit
  Segment 2: Magnitude=6.1074, Ratio=7.08x limit
  Segment 2: Magnitude=26.5731, Ratio=15.23x limit
  Segment 2: Magnitude=3.6611, Ratio=2.53x limit
  Segment 2: Magnitude=18.2019, Ratio=7.59x limit
  Segment 3: Magnitude=1.2342, Ratio=1.39x limit
  Segment 3: Magnitude=2.2320, Ratio=3.55x limit
  Segment 3: Magnitude=3.8061, Ratio=4.41x limit
  Segment 3: Magnitude=8.7057, Ratio=4.99x limit
  Segment 3: Magnitude=2.1987, Ratio=1.52x limit
  Segment 4: Magnitude=3.2330, Ratio=3.63x limit
  Segment 4: Magnitude=1.8953, Ratio=3.02x limit
  Segment 4: Magnitude=2.3212, Ratio=2.69x limit
  Segment 4: Magnitude=5.9246, Ratio=3.39x limit
  Segment 4: Magnitude=3.1325, Ratio=2.16x limit
  Segment 4: Magnitude=16.9851, Ratio=7.08x limit
  Segment 5: Magnitude=3.7884, Ratio=4.26x limit
  Segment 5: Magnitude=0.7767, Ratio=1.24x limit
  Segment 5: Magnitude=11.9290, Ratio=6.83x limit
  Segment 5: Magnitude=4.1985, Ratio=2.90x limit
  Segment 5: Magnitude=22.0191, Ratio=9.18x limit
  Segment 6: Magnitude=3.3642, Ratio=3.78x limit
  Segment 6: Magnitude=9.8825, Ratio=5.66x limit
  Segment 6: Magnitude=4.7203, Ratio=3.26x limit
  Segment 6: Magnitude=19.7974, Ratio=8.26x limit
  Segment 7: Magnitude=3.6171, Ratio=4.06x limit
  Segment 7: Magnitude=11.7861, Ratio=6.75x limit
  Segment 7: Magnitude=6.0345, Ratio=4.17x limit
  Segment 7: Magnitude=20.7724, Ratio=8.66x limit
  Segment 8: Magnitude=3.2342, Ratio=3.63x limit
  Segment 8: Magnitude=1.0218, Ratio=1.63x limit
  Segment 8: Magnitude=0.8987, Ratio=1.04x limit
  Segment 8: Magnitude=8.3682, Ratio=4.79x limit
  Segment 8: Magnitude=8.0121, Ratio=5.53x limit
  Segment 8: Magnitude=18.6359, Ratio=7.77x limit
  Segment 9: Magnitude=3.6292, Ratio=4.08x limit
  Segment 9: Magnitude=1.8357, Ratio=2.92x limit
  Segment 9: Magnitude=1.3694, Ratio=1.59x limit
  Segment 9: Magnitude=10.6338, Ratio=6.09x limit
  Segment 9: Magnitude=9.5289, Ratio=6.58x limit
  Segment 9: Magnitude=20.7986, Ratio=8.67x limit
  Segment 10: Magnitude=4.1891, Ratio=4.71x limit
  Segment 10: Magnitude=2.3938, Ratio=3.81x limit
  Segment 10: Magnitude=1.8644, Ratio=2.16x limit
  Segment 10: Magnitude=13.9556, Ratio=8.00x limit
  Segment 10: Magnitude=14.5253, Ratio=10.03x limit
  Segment 10: Magnitude=23.6829, Ratio=9.88x limit
  Segment 11: Magnitude=4.7009, Ratio=5.28x limit
  Segment 11: Magnitude=2.6799, Ratio=4.27x limit
  Segment 11: Magnitude=2.6510, Ratio=3.07x limit
  Segment 11: Magnitude=23.7252, Ratio=13.59x limit
  Segment 11: Magnitude=18.1178, Ratio=12.51x limit
  Segment 11: Magnitude=28.3940, Ratio=11.84x limit
  Segment 12: Magnitude=4.6478, Ratio=5.22x limit
  Segment 12: Magnitude=2.0970, Ratio=3.34x limit
  Segment 12: Magnitude=2.3760, Ratio=2.76x limit
  Segment 12: Magnitude=32.7827, Ratio=18.78x limit
  Segment 12: Magnitude=20.1553, Ratio=13.91x limit
  Segment 12: Magnitude=29.7313, Ratio=12.40x limit
  Segment 13: Magnitude=3.5042, Ratio=3.94x limit
  Segment 13: Magnitude=0.8985, Ratio=1.43x limit
  Segment 13: Magnitude=2.0243, Ratio=2.35x limit
  Segment 13: Magnitude=41.2698, Ratio=23.65x limit
  Segment 13: Magnitude=15.0883, Ratio=10.42x limit
  Segment 13: Magnitude=25.3638, Ratio=10.58x limit
  Segment 14: Magnitude=1.7231, Ratio=1.94x limit
  Segment 14: Magnitude=0.7518, Ratio=0.87x limit
  Segment 14: Magnitude=36.5712, Ratio=20.95x limit
  Segment 14: Magnitude=9.3406, Ratio=6.45x limit
  Segment 14: Magnitude=16.3684, Ratio=6.83x limit
  Segment 15: Magnitude=1.3350, Ratio=2.12x limit
  Segment 15: Magnitude=27.8155, Ratio=15.94x limit
  Segment 15: Magnitude=2.5621, Ratio=1.77x limit
  Segment 15: Magnitude=7.6033, Ratio=3.17x limit
  Segment 16: Magnitude=0.8601, Ratio=1.37x limit
  Segment 16: Magnitude=18.6105, Ratio=10.66x limit
  Segment 16: Magnitude=1.4166, Ratio=0.98x limit
  Segment 16: Magnitude=2.6193, Ratio=1.09x limit
  Segment 17: Magnitude=1.0925, Ratio=1.74x limit
  Segment 17: Magnitude=12.1268, Ratio=6.95x limit
  Segment 18: Magnitude=0.9740, Ratio=1.55x limit
  Segment 18: Magnitude=0.8591, Ratio=1.00x limit
  Segment 18: Magnitude=8.0843, Ratio=4.63x limit
  Segment 19: Magnitude=0.7346, Ratio=1.17x limit
  Segment 19: Magnitude=5.7231, Ratio=3.28x limit
  Segment 20: Magnitude=4.3952, Ratio=2.52x limit
  Segment 21: Magnitude=0.5558, Ratio=0.88x limit
  Segment 21: Magnitude=3.0374, Ratio=1.74x limit
