Continuity Violations Report: Traj_28_[1-13]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 13

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=2.1683, Ratio=1.24x limit
  Segment 0: Magnitude=6.9927, Ratio=4.83x limit
  Segment 0: Magnitude=5.5102, Ratio=2.30x limit
  Segment 1: Magnitude=1.8056, Ratio=2.03x limit
  Segment 1: Magnitude=1.1312, Ratio=1.80x limit
  Segment 1: Magnitude=2.3504, Ratio=2.73x limit
  Segment 1: Magnitude=12.7755, Ratio=7.32x limit
  Segment 1: Magnitude=13.5865, Ratio=9.38x limit
  Segment 1: Magnitude=3.8040, Ratio=1.59x limit
  Segment 2: Magnitude=4.3986, Ratio=4.94x limit
  Segment 2: Magnitude=9.5726, Ratio=15.24x limit
  Segment 2: Magnitude=15.9232, Ratio=18.47x limit
  Segment 2: Magnitude=38.9334, Ratio=22.31x limit
  Segment 2: Magnitude=42.1281, Ratio=29.08x limit
  Segment 2: Magnitude=8.1548, Ratio=3.40x limit
  Segment 3: Magnitude=5.4733, Ratio=6.15x limit
  Segment 3: Magnitude=8.9464, Ratio=14.24x limit
  Segment 3: Magnitude=14.8927, Ratio=17.27x limit
  Segment 3: Magnitude=48.4701, Ratio=27.77x limit
  Segment 3: Magnitude=56.0752, Ratio=38.71x limit
  Segment 3: Magnitude=15.9602, Ratio=6.66x limit
  Segment 4: Magnitude=3.4183, Ratio=3.84x limit
  Segment 4: Magnitude=2.7827, Ratio=4.43x limit
  Segment 4: Magnitude=4.8238, Ratio=5.59x limit
  Segment 4: Magnitude=27.7725, Ratio=15.91x limit
  Segment 4: Magnitude=31.9338, Ratio=22.04x limit
  Segment 4: Magnitude=11.2145, Ratio=4.68x limit
  Segment 5: Magnitude=1.4182, Ratio=2.26x limit
  Segment 5: Magnitude=1.6313, Ratio=1.89x limit
  Segment 5: Magnitude=5.2668, Ratio=3.02x limit
  Segment 5: Magnitude=6.2553, Ratio=4.32x limit
  Segment 5: Magnitude=2.6014, Ratio=1.08x limit
  Segment 6: Magnitude=3.2259, Ratio=3.62x limit
  Segment 6: Magnitude=3.9595, Ratio=6.30x limit
  Segment 6: Magnitude=6.5084, Ratio=7.55x limit
  Segment 6: Magnitude=27.9151, Ratio=15.99x limit
  Segment 6: Magnitude=31.3030, Ratio=21.61x limit
  Segment 6: Magnitude=10.0291, Ratio=4.18x limit
  Segment 7: Magnitude=1.9063, Ratio=1.09x limit
  Segment 7: Magnitude=1.7797, Ratio=1.23x limit
  Segment 8: Magnitude=3.3143, Ratio=3.72x limit
  Segment 8: Magnitude=5.1230, Ratio=8.15x limit
  Segment 8: Magnitude=8.1972, Ratio=9.51x limit
  Segment 8: Magnitude=31.0949, Ratio=17.82x limit
  Segment 8: Magnitude=35.0759, Ratio=24.21x limit
  Segment 8: Magnitude=10.9455, Ratio=4.56x limit
  Segment 9: Magnitude=4.1580, Ratio=4.67x limit
  Segment 9: Magnitude=4.9102, Ratio=7.81x limit
  Segment 9: Magnitude=8.4401, Ratio=9.79x limit
  Segment 9: Magnitude=35.8906, Ratio=20.56x limit
  Segment 9: Magnitude=38.7198, Ratio=26.73x limit
  Segment 9: Magnitude=11.3192, Ratio=4.72x limit
  Segment 10: Magnitude=2.1148, Ratio=2.38x limit
  Segment 10: Magnitude=0.7760, Ratio=1.23x limit
  Segment 10: Magnitude=2.1803, Ratio=2.53x limit
  Segment 10: Magnitude=14.5535, Ratio=8.34x limit
  Segment 10: Magnitude=13.6524, Ratio=9.42x limit
  Segment 10: Magnitude=3.1033, Ratio=1.29x limit
