Continuity Violations Report: Traj_75_[1-21]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 21

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 0
  Segment 1: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 1
  Segment 2: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 2
  Segment 3: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 3
  Segment 4: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 4
  Segment 5: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 5
  Segment 6: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 6
  Segment 7: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 7
  Segment 8: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 8
  Segment 9: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 9
  Segment 10: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 10
  Segment 11: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 11
  Segment 12: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 12
  Segment 13: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 13
  Segment 14: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 14
  Segment 15: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 15
  Segment 16: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 16
  Segment 17: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 17
  Segment 18: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 18
  Segment 19: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 19
  Segment 20: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 20
  Segment 0: Magnitude=5.0592, Type=large_step, Details=Step norm 289.9° exceeds limit 30.0°
  Segment 1: Magnitude=11.0980, Type=large_step, Details=Step norm 635.9° exceeds limit 30.0°
  Segment 2: Magnitude=11.7845, Type=large_step, Details=Step norm 675.2° exceeds limit 30.0°
  Segment 3: Magnitude=9.5584, Type=large_step, Details=Step norm 547.7° exceeds limit 30.0°
  Segment 4: Magnitude=8.4482, Type=large_step, Details=Step norm 484.0° exceeds limit 30.0°
  Segment 5: Magnitude=10.2656, Type=large_step, Details=Step norm 588.2° exceeds limit 30.0°
  Segment 6: Magnitude=6.3501, Type=large_step, Details=Step norm 363.8° exceeds limit 30.0°
  Segment 7: Magnitude=8.3821, Type=large_step, Details=Step norm 480.3° exceeds limit 30.0°
  Segment 8: Magnitude=5.4739, Type=large_step, Details=Step norm 313.6° exceeds limit 30.0°
  Segment 9: Magnitude=9.3128, Type=large_step, Details=Step norm 533.6° exceeds limit 30.0°
  Segment 10: Magnitude=14.0503, Type=large_step, Details=Step norm 805.0° exceeds limit 30.0°
  Segment 12: Magnitude=11.9647, Type=large_step, Details=Step norm 685.5° exceeds limit 30.0°
  Segment 13: Magnitude=8.1831, Type=large_step, Details=Step norm 468.9° exceeds limit 30.0°
  Segment 14: Magnitude=10.0047, Type=large_step, Details=Step norm 573.2° exceeds limit 30.0°
  Segment 15: Magnitude=6.4207, Type=large_step, Details=Step norm 367.9° exceeds limit 30.0°
  Segment 16: Magnitude=6.4869, Type=large_step, Details=Step norm 371.7° exceeds limit 30.0°
  Segment 17: Magnitude=5.8434, Type=large_step, Details=Step norm 334.8° exceeds limit 30.0°
  Segment 18: Magnitude=7.5753, Type=large_step, Details=Step norm 434.0° exceeds limit 30.0°
  Segment 19: Magnitude=9.1500, Type=large_step, Details=Step norm 524.3° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=505.0177, Type=velocity_limit, Ratio=113.47x limit
  Segment 0: Magnitude=5.6887, Type=velocity_limit, Ratio=1.81x limit
  Segment 0: Magnitude=15.1060, Type=velocity_limit, Ratio=1.26x limit
  Segment 1: Magnitude=239.7558, Type=velocity_limit, Ratio=53.87x limit
  Segment 1: Magnitude=198.6897, Type=velocity_limit, Ratio=63.24x limit
  Segment 1: Magnitude=45.5387, Type=velocity_limit, Ratio=10.56x limit
  Segment 1: Magnitude=713.8378, Type=velocity_limit, Ratio=81.80x limit
  Segment 1: Magnitude=453.5759, Type=velocity_limit, Ratio=62.62x limit
  Segment 1: Magnitude=645.1541, Type=velocity_limit, Ratio=53.81x limit
  Segment 2: Magnitude=388.2817, Type=velocity_limit, Ratio=87.24x limit
  Segment 2: Magnitude=257.9402, Type=velocity_limit, Ratio=82.10x limit
