Continuity Violations Report: Traj_22_[1-135]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 135

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 46: Magnitude=2.8273, Type=velocity_limit, Ratio=0.90x limit
  Segment 46: Magnitude=3.9056, Type=velocity_limit, Ratio=0.91x limit
  Segment 46: Magnitude=9.4781, Type=velocity_limit, Ratio=1.09x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 2: Magnitude=0.8026, Ratio=0.90x limit
  Segment 2: Magnitude=2.4235, Ratio=3.86x limit
  Segment 2: Magnitude=5.5922, Ratio=6.49x limit
  Segment 2: Magnitude=1.8490, Ratio=1.06x limit
  Segment 2: Magnitude=5.7520, Ratio=3.97x limit
  Segment 2: Magnitude=6.9468, Ratio=2.90x limit
  Segment 4: Magnitude=1.9120, Ratio=2.22x limit
  Segment 4: Magnitude=1.9102, Ratio=1.32x limit
  Segment 17: Magnitude=0.7728, Ratio=0.90x limit
  Segment 18: Magnitude=0.6349, Ratio=1.01x limit
  Segment 18: Magnitude=0.9593, Ratio=1.11x limit
  Segment 18: Magnitude=1.8209, Ratio=1.04x limit
  Segment 19: Magnitude=0.8625, Ratio=1.37x limit
  Segment 19: Magnitude=1.2894, Ratio=1.50x limit
  Segment 19: Magnitude=2.5586, Ratio=1.47x limit
  Segment 19: Magnitude=1.7276, Ratio=1.19x limit
  Segment 20: Magnitude=1.2260, Ratio=1.95x limit
  Segment 20: Magnitude=1.7879, Ratio=2.07x limit
  Segment 20: Magnitude=3.4344, Ratio=1.97x limit
  Segment 20: Magnitude=2.3274, Ratio=1.61x limit
  Segment 20: Magnitude=2.1672, Ratio=0.90x limit
  Segment 21: Magnitude=1.6557, Ratio=2.64x limit
  Segment 21: Magnitude=2.3073, Ratio=2.68x limit
  Segment 21: Magnitude=4.7254, Ratio=2.71x limit
  Segment 21: Magnitude=3.3021, Ratio=2.28x limit
  Segment 21: Magnitude=2.8959, Ratio=1.21x limit
