Continuity Violations Report: Traj_24_[1-130]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 130

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 44: Magnitude=3.6910, Type=velocity_limit, Ratio=1.17x limit
  Segment 44: Magnitude=5.2801, Type=velocity_limit, Ratio=1.22x limit
  Segment 44: Magnitude=12.6151, Type=velocity_limit, Ratio=1.45x limit
  Segment 44: Magnitude=6.9825, Type=velocity_limit, Ratio=0.96x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 3: Magnitude=4.4348, Ratio=7.06x limit
  Segment 3: Magnitude=5.2844, Ratio=6.13x limit
  Segment 3: Magnitude=2.6088, Ratio=1.49x limit
  Segment 3: Magnitude=6.5823, Ratio=4.54x limit
  Segment 3: Magnitude=8.7211, Ratio=3.64x limit
  Segment 4: Magnitude=4.7961, Ratio=7.63x limit
  Segment 4: Magnitude=4.9336, Ratio=5.72x limit
  Segment 4: Magnitude=3.1054, Ratio=1.78x limit
  Segment 4: Magnitude=6.1692, Ratio=4.26x limit
  Segment 4: Magnitude=8.9734, Ratio=3.74x limit
  Segment 14: Magnitude=0.7700, Ratio=0.89x limit
  Segment 15: Magnitude=0.6168, Ratio=0.98x limit
  Segment 15: Magnitude=0.9381, Ratio=1.09x limit
  Segment 15: Magnitude=1.7636, Ratio=1.01x limit
  Segment 16: Magnitude=0.8994, Ratio=1.43x limit
  Segment 16: Magnitude=1.4064, Ratio=1.63x limit
  Segment 16: Magnitude=2.4289, Ratio=1.39x limit
  Segment 16: Magnitude=1.6126, Ratio=1.11x limit
  Segment 17: Magnitude=1.2147, Ratio=1.93x limit
  Segment 17: Magnitude=1.7560, Ratio=2.04x limit
  Segment 17: Magnitude=3.2354, Ratio=1.85x limit
  Segment 17: Magnitude=2.2672, Ratio=1.57x limit
  Segment 18: Magnitude=1.5940, Ratio=2.54x limit
  Segment 18: Magnitude=2.3013, Ratio=2.67x limit
  Segment 18: Magnitude=4.5589, Ratio=2.61x limit
  Segment 18: Magnitude=3.2366, Ratio=2.23x limit
  Segment 18: Magnitude=2.8271, Ratio=1.18x limit
  Segment 19: Magnitude=2.1668, Ratio=3.45x limit
  Segment 19: Magnitude=3.1498, Ratio=3.65x limit
  Segment 19: Magnitude=5.9273, Ratio=3.40x limit
  Segment 19: Magnitude=4.1270, Ratio=2.85x limit
  Segment 19: Magnitude=3.7330, Ratio=1.56x limit
  Segment 20: Magnitude=2.8575, Ratio=4.55x limit
  Segment 20: Magnitude=4.0452, Ratio=4.69x limit
  Segment 20: Magnitude=7.9594, Ratio=4.56x limit
  Segment 20: Magnitude=5.6146, Ratio=3.88x limit
  Segment 20: Magnitude=4.9293, Ratio=2.06x limit
  Segment 21: Magnitude=3.9633, Ratio=6.31x limit
  Segment 21: Magnitude=5.6608, Ratio=6.57x limit
  Segment 21: Magnitude=11.0672, Ratio=6.34x limit
  Segment 21: Magnitude=7.6831, Ratio=5.30x limit
  Segment 21: Magnitude=6.9189, Ratio=2.89x limit
  Segment 22: Magnitude=4.7799, Ratio=7.61x limit
  Segment 22: Magnitude=6.5612, Ratio=7.61x limit
  Segment 22: Magnitude=13.5941, Ratio=7.79x limit
  Segment 22: Magnitude=9.5634, Ratio=6.60x limit
  Segment 22: Magnitude=8.3203, Ratio=3.47x limit
  Segment 23: Magnitude=6.1091, Ratio=9.72x limit
  Segment 23: Magnitude=8.8784, Ratio=10.30x limit
  Segment 23: Magnitude=17.6883, Ratio=10.13x limit
  Segment 23: Magnitude=11.8331, Ratio=8.17x limit
  Segment 23: Magnitude=11.2443, Ratio=4.69x limit
  Segment 24: Magnitude=6.7611, Ratio=10.76x limit
  Segment 24: Magnitude=9.3424, Ratio=10.84x limit
  Segment 24: Magnitude=20.0157, Ratio=11.47x limit
  Segment 24: Magnitude=13.5484, Ratio=9.35x limit
  Segment 24: Magnitude=12.4221, Ratio=5.18x limit
  Segment 25: Magnitude=8.6816, Ratio=13.82x limit
  Segment 25: Magnitude=12.5100, Ratio=14.51x limit
  Segment 25: Magnitude=26.0629, Ratio=14.93x limit
  Segment 25: Magnitude=16.8716, Ratio=11.65x limit
  Segment 25: Magnitude=16.6505, Ratio=6.94x limit
  Segment 26: Magnitude=0.8581, Ratio=0.96x limit
  Segment 26: Magnitude=7.5677, Ratio=12.04x limit
  Segment 26: Magnitude=11.1077, Ratio=12.88x limit
  Segment 26: Magnitude=23.5336, Ratio=13.48x limit
  Segment 26: Magnitude=14.4258, Ratio=9.96x limit
  Segment 26: Magnitude=15.3465, Ratio=6.40x limit
  Segment 27: Magnitude=0.8878, Ratio=1.00x limit
  Segment 27: Magnitude=6.6710, Ratio=10.62x limit
  Segment 27: Magnitude=9.4265, Ratio=10.93x limit
  Segment 27: Magnitude=21.4630, Ratio=12.30x limit
  Segment 27: Magnitude=12.8520, Ratio=8.87x limit
  Segment 27: Magnitude=13.8897, Ratio=5.79x limit
  Segment 28: Magnitude=0.9975, Ratio=1.12x limit
  Segment 28: Magnitude=4.3221, Ratio=6.88x limit
  Segment 28: Magnitude=7.0107, Ratio=8.13x limit
  Segment 28: Magnitude=15.1558, Ratio=8.68x limit
  Segment 28: Magnitude=7.3727, Ratio=5.09x limit
  Segment 28: Magnitude=10.7099, Ratio=4.47x limit
  Segment 29: Magnitude=1.0985, Ratio=1.23x limit
  Segment 29: Magnitude=4.1089, Ratio=6.54x limit
  Segment 29: Magnitude=7.1777, Ratio=8.32x limit
  Segment 29: Magnitude=15.2374, Ratio=8.73x limit
  Segment 29: Magnitude=6.6504, Ratio=4.59x limit
  Segment 29: Magnitude=11.1533, Ratio=4.65x limit
  Segment 30: Magnitude=2.2099, Ratio=3.52x limit
  Segment 30: Magnitude=2.9122, Ratio=3.38x limit
  Segment 30: Magnitude=3.9289, Ratio=2.25x limit
  Segment 30: Magnitude=4.9719, Ratio=3.43x limit
  Segment 31: Magnitude=3.8124, Ratio=6.07x limit
  Segment 31: Magnitude=3.1221, Ratio=3.62x limit
  Segment 31: Magnitude=7.3882, Ratio=4.23x limit
  Segment 31: Magnitude=8.7170, Ratio=6.02x limit
  Segment 31: Magnitude=2.6775, Ratio=1.12x limit
  Segment 32: Magnitude=7.5790, Ratio=12.06x limit
  Segment 32: Magnitude=9.4324, Ratio=10.94x limit
  Segment 32: Magnitude=19.3972, Ratio=11.11x limit
  Segment 32: Magnitude=15.1360, Ratio=10.45x limit
  Segment 32: Magnitude=11.1477, Ratio=4.65x limit
  Segment 33: Magnitude=6.5091, Ratio=10.36x limit
  Segment 33: Magnitude=8.1934, Ratio=9.50x limit
  Segment 33: Magnitude=16.7074, Ratio=9.57x limit
  Segment 33: Magnitude=12.7700, Ratio=8.82x limit
  Segment 33: Magnitude=9.7395, Ratio=4.06x limit
  Segment 34: Magnitude=6.4510, Ratio=10.27x limit
  Segment 34: Magnitude=7.6051, Ratio=8.82x limit
  Segment 34: Magnitude=16.1138, Ratio=9.23x limit
  Segment 34: Magnitude=12.4020, Ratio=8.56x limit
  Segment 34: Magnitude=9.1835, Ratio=3.83x limit
  Segment 35: Magnitude=7.4557, Ratio=11.87x limit
  Segment 35: Magnitude=9.9662, Ratio=11.56x limit
  Segment 35: Magnitude=20.0743, Ratio=11.50x limit
  Segment 35: Magnitude=13.6192, Ratio=9.40x limit
  Segment 35: Magnitude=12.4601, Ratio=5.20x limit
  Segment 36: Magnitude=0.7945, Ratio=0.89x limit
  Segment 36: Magnitude=5.6199, Ratio=8.94x limit
  Segment 36: Magnitude=6.6060, Ratio=7.66x limit
  Segment 36: Magnitude=14.8422, Ratio=8.50x limit
  Segment 36: Magnitude=10.8592, Ratio=7.50x limit
  Segment 36: Magnitude=8.6270, Ratio=3.60x limit
  Segment 37: Magnitude=5.6197, Ratio=8.94x limit
  Segment 37: Magnitude=6.6756, Ratio=7.74x limit
  Segment 37: Magnitude=13.8215, Ratio=7.92x limit
  Segment 37: Magnitude=9.7540, Ratio=6.73x limit
  Segment 37: Magnitude=8.2057, Ratio=3.42x limit
  Segment 38: Magnitude=4.2989, Ratio=6.84x limit
  Segment 38: Magnitude=5.7332, Ratio=6.65x limit
  Segment 38: Magnitude=12.4247, Ratio=7.12x limit
  Segment 38: Magnitude=8.1596, Ratio=5.63x limit
  Segment 38: Magnitude=7.7719, Ratio=3.24x limit
  Segment 39: Magnitude=3.5704, Ratio=5.68x limit
  Segment 39: Magnitude=4.7529, Ratio=5.51x limit
  Segment 39: Magnitude=9.9034, Ratio=5.67x limit
  Segment 39: Magnitude=6.3998, Ratio=4.42x limit
  Segment 39: Magnitude=6.2427, Ratio=2.60x limit
  Segment 40: Magnitude=2.3313, Ratio=3.71x limit
  Segment 40: Magnitude=4.2763, Ratio=4.96x limit
  Segment 40: Magnitude=10.0937, Ratio=5.78x limit
  Segment 40: Magnitude=4.8381, Ratio=3.34x limit
  Segment 40: Magnitude=7.0936, Ratio=2.96x limit
  Segment 41: Magnitude=7.3287, Ratio=8.23x limit
  Segment 41: Magnitude=46.6109, Ratio=74.18x limit
  Segment 41: Magnitude=66.7048, Ratio=77.37x limit
  Segment 41: Magnitude=152.3393, Ratio=87.28x limit
