Continuity Violations Report: Traj_30_[1-115]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 115

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 3: Magnitude=3.2498, Ratio=5.17x limit
  Segment 3: Magnitude=3.9498, Ratio=4.58x limit
  Segment 3: Magnitude=2.6764, Ratio=1.53x limit
  Segment 3: Magnitude=3.9849, Ratio=2.75x limit
  Segment 3: Magnitude=6.9309, Ratio=2.89x limit
  Segment 4: Magnitude=1.7560, Ratio=2.79x limit
  Segment 4: Magnitude=2.9687, Ratio=3.44x limit
  Segment 4: Magnitude=3.0396, Ratio=2.10x limit
  Segment 4: Magnitude=4.3226, Ratio=1.80x limit
  Segment 9: Magnitude=0.9229, Ratio=1.07x limit
  Segment 10: Magnitude=0.7931, Ratio=1.26x limit
  Segment 10: Magnitude=1.3836, Ratio=0.96x limit
  Segment 11: Magnitude=0.9078, Ratio=1.44x limit
  Segment 11: Magnitude=1.1853, Ratio=1.37x limit
  Segment 11: Magnitude=2.0975, Ratio=1.20x limit
  Segment 11: Magnitude=1.5792, Ratio=1.09x limit
  Segment 12: Magnitude=1.2301, Ratio=1.96x limit
  Segment 12: Magnitude=1.2805, Ratio=1.49x limit
  Segment 12: Magnitude=2.5458, Ratio=1.46x limit
  Segment 12: Magnitude=2.1646, Ratio=1.49x limit
  Segment 13: Magnitude=1.3246, Ratio=2.11x limit
  Segment 13: Magnitude=1.7806, Ratio=2.07x limit
  Segment 13: Magnitude=3.2064, Ratio=1.84x limit
  Segment 13: Magnitude=2.3809, Ratio=1.64x limit
  Segment 14: Magnitude=1.4599, Ratio=2.32x limit
  Segment 14: Magnitude=1.7737, Ratio=2.06x limit
  Segment 14: Magnitude=3.3381, Ratio=1.91x limit
  Segment 14: Magnitude=2.6071, Ratio=1.80x limit
  Segment 15: Magnitude=1.4846, Ratio=2.36x limit
  Segment 15: Magnitude=1.9481, Ratio=2.26x limit
  Segment 15: Magnitude=3.7491, Ratio=2.15x limit
  Segment 15: Magnitude=2.8158, Ratio=1.94x limit
  Segment 15: Magnitude=2.1704, Ratio=0.91x limit
  Segment 16: Magnitude=1.3311, Ratio=2.12x limit
  Segment 16: Magnitude=1.5213, Ratio=1.76x limit
  Segment 16: Magnitude=3.1823, Ratio=1.82x limit
  Segment 16: Magnitude=2.5392, Ratio=1.75x limit
  Segment 17: Magnitude=1.0584, Ratio=1.68x limit
  Segment 17: Magnitude=1.4181, Ratio=1.64x limit
  Segment 17: Magnitude=2.7018, Ratio=1.55x limit
  Segment 17: Magnitude=1.9539, Ratio=1.35x limit
  Segment 18: Magnitude=0.7901, Ratio=1.26x limit
  Segment 18: Magnitude=0.8133, Ratio=0.94x limit
  Segment 18: Magnitude=1.8838, Ratio=1.08x limit
  Segment 18: Magnitude=1.5218, Ratio=1.05x limit
  Segment 25: Magnitude=0.5365, Ratio=0.85x limit
  Segment 25: Magnitude=0.7626, Ratio=0.88x limit
  Segment 29: Magnitude=3.5050, Ratio=5.58x limit
  Segment 29: Magnitude=5.1200, Ratio=5.94x limit
  Segment 29: Magnitude=9.7840, Ratio=5.61x limit
  Segment 29: Magnitude=6.5952, Ratio=4.55x limit
  Segment 29: Magnitude=6.1258, Ratio=2.55x limit
  Segment 30: Magnitude=10.7498, Ratio=17.11x limit
  Segment 30: Magnitude=15.5290, Ratio=18.01x limit
  Segment 30: Magnitude=30.1573, Ratio=17.28x limit
  Segment 30: Magnitude=20.3554, Ratio=14.05x limit
  Segment 30: Magnitude=18.7758, Ratio=7.83x limit
  Segment 31: Magnitude=12.0021, Ratio=19.10x limit
  Segment 31: Magnitude=17.5582, Ratio=20.36x limit
  Segment 31: Magnitude=35.4834, Ratio=20.33x limit
  Segment 31: Magnitude=23.2749, Ratio=16.07x limit
  Segment 31: Magnitude=22.2863, Ratio=9.29x limit
  Segment 32: Magnitude=12.7777, Ratio=20.34x limit
  Segment 32: Magnitude=19.0004, Ratio=22.04x limit
  Segment 32: Magnitude=40.0892, Ratio=22.97x limit
  Segment 32: Magnitude=25.2113, Ratio=17.40x limit
