Continuity Violations Report: Traj_1_[1-84]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 84

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 74: Magnitude=8.6034, Type=velocity_limit, Ratio=0.99x limit
  Segment 75: Magnitude=10.8562, Type=velocity_limit, Ratio=1.24x limit
  Segment 76: Magnitude=8.1330, Type=velocity_limit, Ratio=0.93x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=0.7521, Ratio=1.20x limit
  Segment 0: Magnitude=1.1096, Ratio=1.29x limit
  Segment 0: Magnitude=10.6889, Ratio=6.12x limit
  Segment 0: Magnitude=1.4743, Ratio=1.02x limit
  Segment 0: Magnitude=8.2800, Ratio=3.45x limit
  Segment 1: Magnitude=5.0675, Ratio=2.90x limit
  Segment 1: Magnitude=3.8574, Ratio=1.61x limit
  Segment 3: Magnitude=6.7930, Ratio=3.89x limit
  Segment 3: Magnitude=5.5303, Ratio=2.31x limit
  Segment 4: Magnitude=1.5849, Ratio=1.78x limit
  Segment 4: Magnitude=1.9864, Ratio=3.16x limit
  Segment 4: Magnitude=1.7512, Ratio=2.03x limit
  Segment 4: Magnitude=25.6160, Ratio=14.68x limit
  Segment 4: Magnitude=2.0666, Ratio=1.43x limit
  Segment 4: Magnitude=20.6607, Ratio=8.62x limit
  Segment 5: Magnitude=4.5849, Ratio=5.15x limit
  Segment 5: Magnitude=5.0495, Ratio=8.04x limit
  Segment 5: Magnitude=7.0407, Ratio=8.17x limit
  Segment 5: Magnitude=89.1176, Ratio=51.06x limit
  Segment 5: Magnitude=10.0499, Ratio=6.94x limit
  Segment 5: Magnitude=70.9405, Ratio=29.58x limit
  Segment 6: Magnitude=9.3901, Ratio=10.55x limit
  Segment 6: Magnitude=6.1714, Ratio=9.82x limit
  Segment 6: Magnitude=10.3056, Ratio=11.95x limit
  Segment 6: Magnitude=229.3894, Ratio=131.43x limit
  Segment 6: Magnitude=26.4757, Ratio=18.28x limit
  Segment 6: Magnitude=181.1115, Ratio=75.52x limit
  Segment 7: Magnitude=1.0467, Ratio=1.18x limit
  Segment 7: Magnitude=6.9117, Ratio=11.00x limit
  Segment 7: Magnitude=7.7159, Ratio=8.95x limit
  Segment 7: Magnitude=106.6068, Ratio=61.08x limit
  Segment 7: Magnitude=12.6051, Ratio=8.70x limit
  Segment 7: Magnitude=81.8828, Ratio=34.15x limit
  Segment 8: Magnitude=2.1709, Ratio=2.44x limit
  Segment 8: Magnitude=1.7922, Ratio=2.85x limit
  Segment 8: Magnitude=27.4956, Ratio=15.75x limit
  Segment 8: Magnitude=4.9682, Ratio=3.43x limit
  Segment 8: Magnitude=19.6295, Ratio=8.19x limit
  Segment 9: Magnitude=2.6456, Ratio=2.97x limit
  Segment 9: Magnitude=0.7046, Ratio=1.12x limit
  Segment 9: Magnitude=3.8992, Ratio=4.52x limit
  Segment 9: Magnitude=71.0940, Ratio=40.73x limit
  Segment 9: Magnitude=58.9364, Ratio=24.58x limit
  Segment 10: Magnitude=1.6300, Ratio=1.83x limit
  Segment 10: Magnitude=2.1802, Ratio=3.47x limit
  Segment 10: Magnitude=3.0078, Ratio=3.49x limit
  Segment 10: Magnitude=84.6719, Ratio=48.51x limit
  Segment 10: Magnitude=6.3759, Ratio=4.40x limit
  Segment 10: Magnitude=68.0976, Ratio=28.40x limit
  Segment 11: Magnitude=2.9881, Ratio=3.36x limit
  Segment 11: Magnitude=0.6744, Ratio=1.07x limit
  Segment 11: Magnitude=1.9640, Ratio=2.28x limit
  Segment 11: Magnitude=93.0090, Ratio=53.29x limit
  Segment 11: Magnitude=10.9113, Ratio=7.53x limit
  Segment 11: Magnitude=73.5498, Ratio=30.67x limit
  Segment 12: Magnitude=3.6263, Ratio=4.07x limit
  Segment 12: Magnitude=3.1909, Ratio=5.08x limit
  Segment 12: Magnitude=3.2054, Ratio=3.72x limit
  Segment 12: Magnitude=74.4166, Ratio=42.64x limit
  Segment 12: Magnitude=8.2444, Ratio=5.69x limit
  Segment 12: Magnitude=58.7161, Ratio=24.48x limit
  Segment 13: Magnitude=1.5030, Ratio=1.69x limit
  Segment 13: Magnitude=0.9260, Ratio=1.47x limit
  Segment 13: Magnitude=2.9314, Ratio=3.40x limit
  Segment 13: Magnitude=42.7855, Ratio=24.51x limit
  Segment 13: Magnitude=7.0450, Ratio=4.86x limit
  Segment 13: Magnitude=33.1337, Ratio=13.82x limit
  Segment 14: Magnitude=1.8276, Ratio=2.05x limit
  Segment 14: Magnitude=2.0828, Ratio=3.31x limit
  Segment 14: Magnitude=1.9925, Ratio=2.31x limit
  Segment 14: Magnitude=33.2280, Ratio=19.04x limit
  Segment 14: Magnitude=3.9726, Ratio=2.74x limit
  Segment 14: Magnitude=25.5788, Ratio=10.67x limit
  Segment 15: Magnitude=1.1086, Ratio=1.25x limit
  Segment 15: Magnitude=1.3622, Ratio=2.17x limit
  Segment 15: Magnitude=1.4699, Ratio=1.70x limit
  Segment 15: Magnitude=20.7692, Ratio=11.90x limit
  Segment 15: Magnitude=2.8786, Ratio=1.99x limit
  Segment 15: Magnitude=15.6925, Ratio=6.54x limit
  Segment 16: Magnitude=1.3335, Ratio=1.55x limit
  Segment 16: Magnitude=10.9791, Ratio=6.29x limit
  Segment 16: Magnitude=2.6397, Ratio=1.82x limit
  Segment 16: Magnitude=7.5856, Ratio=3.16x limit
  Segment 17: Magnitude=0.7560, Ratio=1.20x limit
  Segment 17: Magnitude=0.8642, Ratio=1.00x limit
  Segment 17: Magnitude=9.6903, Ratio=5.55x limit
  Segment 17: Magnitude=1.5809, Ratio=1.09x limit
  Segment 17: Magnitude=6.7905, Ratio=2.83x limit
  Segment 18: Magnitude=0.6429, Ratio=1.02x limit
  Segment 18: Magnitude=7.5743, Ratio=4.34x limit
  Segment 18: Magnitude=1.2847, Ratio=0.89x limit
  Segment 18: Magnitude=5.1668, Ratio=2.15x limit
  Segment 19: Magnitude=0.6863, Ratio=1.09x limit
  Segment 19: Magnitude=7.5573, Ratio=4.33x limit
  Segment 19: Magnitude=5.3509, Ratio=2.23x limit
  Segment 20: Magnitude=0.7599, Ratio=0.88x limit
  Segment 20: Magnitude=5.3442, Ratio=3.06x limit
  Segment 20: Magnitude=1.4957, Ratio=1.03x limit
  Segment 20: Magnitude=3.6039, Ratio=1.50x limit
  Segment 21: Magnitude=4.4259, Ratio=2.54x limit
  Segment 21: Magnitude=3.3113, Ratio=1.38x limit
  Segment 24: Magnitude=1.6993, Ratio=0.97x limit
  Segment 26: Magnitude=3.0683, Ratio=1.76x limit
  Segment 26: Magnitude=2.7223, Ratio=1.14x limit
  Segment 27: Magnitude=4.8043, Ratio=2.75x limit
  Segment 27: Magnitude=4.0374, Ratio=1.68x limit
  Segment 28: Magnitude=4.8333, Ratio=2.77x limit
  Segment 28: Magnitude=3.9387, Ratio=1.64x limit
  Segment 29: Magnitude=3.9863, Ratio=2.28x limit
  Segment 29: Magnitude=3.1808, Ratio=1.33x limit
  Segment 30: Magnitude=2.6746, Ratio=1.53x limit
  Segment 31: Magnitude=2.7083, Ratio=1.55x limit
  Segment 31: Magnitude=2.1086, Ratio=0.88x limit
  Segment 32: Magnitude=1.8946, Ratio=1.09x limit
  Segment 33: Magnitude=1.6351, Ratio=0.94x limit
  Segment 36: Magnitude=1.7321, Ratio=0.99x limit
  Segment 39: Magnitude=2.3657, Ratio=1.36x limit
  Segment 39: Magnitude=2.0920, Ratio=0.87x limit
  Segment 40: Magnitude=3.1859, Ratio=1.83x limit
  Segment 40: Magnitude=2.7244, Ratio=1.14x limit
  Segment 41: Magnitude=3.2446, Ratio=1.86x limit
  Segment 41: Magnitude=2.7015, Ratio=1.13x limit
  Segment 42: Magnitude=2.3857, Ratio=1.37x limit
  Segment 43: Magnitude=1.7871, Ratio=1.02x limit
  Segment 53: Magnitude=2.5974, Ratio=1.49x limit
  Segment 54: Magnitude=3.3035, Ratio=1.89x limit
  Segment 54: Magnitude=2.2033, Ratio=0.92x limit
  Segment 55: Magnitude=3.4485, Ratio=1.98x limit
  Segment 55: Magnitude=2.3024, Ratio=0.96x limit
  Segment 56: Magnitude=1.9188, Ratio=1.10x limit
  Segment 60: Magnitude=3.4980, Ratio=2.00x limit
  Segment 60: Magnitude=2.9142, Ratio=1.22x limit
  Segment 61: Magnitude=5.3083, Ratio=3.04x limit
  Segment 61: Magnitude=4.1371, Ratio=1.73x limit
  Segment 62: Magnitude=7.6780, Ratio=4.40x limit
  Segment 62: Magnitude=5.8793, Ratio=2.45x limit
  Segment 63: Magnitude=0.7870, Ratio=0.88x limit
  Segment 63: Magnitude=9.3140, Ratio=5.34x limit
  Segment 63: Magnitude=6.9990, Ratio=2.92x limit
  Segment 64: Magnitude=0.9165, Ratio=1.03x limit
  Segment 64: Magnitude=0.6416, Ratio=1.02x limit
  Segment 64: Magnitude=10.4632, Ratio=5.99x limit
  Segment 64: Magnitude=7.6891, Ratio=3.21x limit
  Segment 65: Magnitude=0.7608, Ratio=0.85x limit
  Segment 65: Magnitude=1.1692, Ratio=1.36x limit
  Segment 65: Magnitude=11.5736, Ratio=6.63x limit
  Segment 65: Magnitude=2.2965, Ratio=1.59x limit
  Segment 65: Magnitude=8.0943, Ratio=3.38x limit
  Segment 66: Magnitude=1.3739, Ratio=1.54x limit
  Segment 66: Magnitude=0.9061, Ratio=1.44x limit
  Segment 66: Magnitude=0.8108, Ratio=0.94x limit
  Segment 66: Magnitude=16.4527, Ratio=9.43x limit
  Segment 66: Magnitude=2.0400, Ratio=1.41x limit
  Segment 66: Magnitude=11.7001, Ratio=4.88x limit
  Segment 67: Magnitude=1.8833, Ratio=2.12x limit
  Segment 67: Magnitude=1.1992, Ratio=1.91x limit
  Segment 67: Magnitude=1.0695, Ratio=1.24x limit
  Segment 67: Magnitude=22.4704, Ratio=12.87x limit
  Segment 67: Magnitude=2.8457, Ratio=1.96x limit
  Segment 67: Magnitude=15.9388, Ratio=6.65x limit
  Segment 68: Magnitude=2.4492, Ratio=2.75x limit
  Segment 68: Magnitude=1.2397, Ratio=1.97x limit
  Segment 68: Magnitude=2.1506, Ratio=2.49x limit
  Segment 68: Magnitude=31.3058, Ratio=17.94x limit
  Segment 68: Magnitude=5.1278, Ratio=3.54x limit
  Segment 68: Magnitude=22.1370, Ratio=9.23x limit
  Segment 69: Magnitude=4.1307, Ratio=4.64x limit
  Segment 69: Magnitude=2.4399, Ratio=3.88x limit
  Segment 69: Magnitude=1.4218, Ratio=1.65x limit
  Segment 69: Magnitude=46.0357, Ratio=26.38x limit
  Segment 69: Magnitude=5.0837, Ratio=3.51x limit
  Segment 69: Magnitude=33.4631, Ratio=13.95x limit
  Segment 70: Magnitude=6.5307, Ratio=7.34x limit
  Segment 70: Magnitude=2.5432, Ratio=4.05x limit
  Segment 70: Magnitude=6.1090, Ratio=7.09x limit
  Segment 70: Magnitude=82.9753, Ratio=47.54x limit
  Segment 70: Magnitude=14.7363, Ratio=10.17x limit
  Segment 70: Magnitude=59.9286, Ratio=24.99x limit
  Segment 71: Magnitude=18.5955, Ratio=20.89x limit
  Segment 71: Magnitude=8.9242, Ratio=14.20x limit
  Segment 71: Magnitude=10.1597, Ratio=11.78x limit
  Segment 71: Magnitude=216.3399, Ratio=123.95x limit
  Segment 71: Magnitude=30.0897, Ratio=20.77x limit
  Segment 71: Magnitude=158.8117, Ratio=66.22x limit
  Segment 72: Magnitude=51.0603, Ratio=57.36x limit
  Segment 72: Magnitude=23.6136, Ratio=37.58x limit
  Segment 72: Magnitude=30.4450, Ratio=35.31x limit
  Segment 72: Magnitude=622.5254, Ratio=356.68x limit
  Segment 72: Magnitude=92.0643, Ratio=63.55x limit
  Segment 72: Magnitude=456.1859, Ratio=190.23x limit
  Segment 73: Magnitude=205.5112, Ratio=230.88x limit
  Segment 73: Magnitude=76.5733, Ratio=121.87x limit
  Segment 73: Magnitude=97.2279, Ratio=112.77x limit
  Segment 73: Magnitude=2439.6302, Ratio=1397.81x limit
  Segment 73: Magnitude=365.2793, Ratio=252.16x limit
  Segment 73: Magnitude=1783.0033, Ratio=743.51x limit
  Segment 74: Magnitude=145.7937, Ratio=163.79x limit
  Segment 74: Magnitude=13.7618, Ratio=21.90x limit
  Segment 74: Magnitude=35.5081, Ratio=41.18x limit
  Segment 74: Magnitude=1877.7425, Ratio=1075.87x limit
  Segment 74: Magnitude=336.4731, Ratio=232.27x limit
  Segment 74: Magnitude=1345.5540, Ratio=561.10x limit
  Segment 75: Magnitude=168.1680, Ratio=188.93x limit
  Segment 75: Magnitude=36.3198, Ratio=57.80x limit
  Segment 75: Magnitude=38.6222, Ratio=44.80x limit
  Segment 75: Magnitude=2239.1601, Ratio=1282.94x limit
  Segment 75: Magnitude=269.8895, Ratio=186.31x limit
  Segment 75: Magnitude=1682.2972, Ratio=701.52x limit
  Segment 76: Magnitude=203.9274, Ratio=229.10x limit
  Segment 76: Magnitude=82.3796, Ratio=131.11x limit
  Segment 76: Magnitude=108.3139, Ratio=125.63x limit
  Segment 76: Magnitude=2424.3883, Ratio=1389.07x limit
  Segment 76: Magnitude=385.0413, Ratio=265.80x limit
  Segment 76: Magnitude=1758.3198, Ratio=733.22x limit
  Segment 77: Magnitude=27.1168, Ratio=30.46x limit
  Segment 77: Magnitude=11.9500, Ratio=19.02x limit
  Segment 77: Magnitude=16.6347, Ratio=19.29x limit
  Segment 77: Magnitude=315.1963, Ratio=180.59x limit
  Segment 77: Magnitude=54.0221, Ratio=37.29x limit
  Segment 77: Magnitude=225.9220, Ratio=94.21x limit
  Segment 78: Magnitude=5.1330, Ratio=5.77x limit
  Segment 78: Magnitude=2.4321, Ratio=3.87x limit
  Segment 78: Magnitude=2.9404, Ratio=3.41x limit
  Segment 78: Magnitude=57.9544, Ratio=33.21x limit
  Segment 78: Magnitude=9.9778, Ratio=6.89x limit
  Segment 78: Magnitude=41.1552, Ratio=17.16x limit
  Segment 79: Magnitude=1.2854, Ratio=1.44x limit
  Segment 79: Magnitude=0.5968, Ratio=0.95x limit
  Segment 79: Magnitude=0.8511, Ratio=0.99x limit
  Segment 79: Magnitude=14.6735, Ratio=8.41x limit
  Segment 79: Magnitude=2.7000, Ratio=1.86x limit
  Segment 79: Magnitude=10.1162, Ratio=4.22x limit
  Segment 81: Magnitude=0.8052, Ratio=0.90x limit
  Segment 81: Magnitude=8.4583, Ratio=4.85x limit
  Segment 81: Magnitude=6.6957, Ratio=2.79x limit
