Continuity Violations Report: Traj_2_[1-84]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 84

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=2.0004, Ratio=2.25x limit
  Segment 0: Magnitude=3.8925, Ratio=6.20x limit
  Segment 0: Magnitude=6.1069, Ratio=7.08x limit
  Segment 0: Magnitude=26.4005, Ratio=15.13x limit
  Segment 0: Magnitude=2.0489, Ratio=1.41x limit
  Segment 0: Magnitude=19.1836, Ratio=8.00x limit
  Segment 1: Magnitude=1.4244, Ratio=1.60x limit
  Segment 1: Magnitude=3.1394, Ratio=5.00x limit
  Segment 1: Magnitude=4.5459, Ratio=5.27x limit
  Segment 1: Magnitude=22.0659, Ratio=12.64x limit
  Segment 1: Magnitude=1.8151, Ratio=1.25x limit
  Segment 1: Magnitude=15.3849, Ratio=6.42x limit
  Segment 2: Magnitude=2.1955, Ratio=1.26x limit
  Segment 3: Magnitude=2.3839, Ratio=2.68x limit
  Segment 3: Magnitude=4.1333, Ratio=6.58x limit
  Segment 3: Magnitude=6.0134, Ratio=6.97x limit
  Segment 3: Magnitude=28.4955, Ratio=16.33x limit
  Segment 3: Magnitude=22.4450, Ratio=9.36x limit
  Segment 4: Magnitude=3.6067, Ratio=4.05x limit
  Segment 4: Magnitude=5.2473, Ratio=8.35x limit
  Segment 4: Magnitude=8.8468, Ratio=10.26x limit
  Segment 4: Magnitude=38.8657, Ratio=22.27x limit
  Segment 4: Magnitude=3.5709, Ratio=2.47x limit
  Segment 4: Magnitude=29.1250, Ratio=12.15x limit
  Segment 5: Magnitude=2.0754, Ratio=2.33x limit
  Segment 5: Magnitude=4.6385, Ratio=7.38x limit
  Segment 5: Magnitude=6.2587, Ratio=7.26x limit
  Segment 5: Magnitude=25.4243, Ratio=14.57x limit
  Segment 5: Magnitude=1.8441, Ratio=1.27x limit
  Segment 5: Magnitude=18.4880, Ratio=7.71x limit
  Segment 6: Magnitude=0.9524, Ratio=1.07x limit
  Segment 6: Magnitude=2.5071, Ratio=3.99x limit
  Segment 6: Magnitude=3.2434, Ratio=3.76x limit
  Segment 6: Magnitude=12.0100, Ratio=6.88x limit
  Segment 6: Magnitude=8.3751, Ratio=3.49x limit
  Segment 7: Magnitude=0.8746, Ratio=1.39x limit
  Segment 7: Magnitude=1.3480, Ratio=1.56x limit
  Segment 7: Magnitude=4.7618, Ratio=2.73x limit
  Segment 7: Magnitude=3.0152, Ratio=1.26x limit
  Segment 9: Magnitude=1.9809, Ratio=1.13x limit
  Segment 10: Magnitude=0.6555, Ratio=1.04x limit
  Segment 10: Magnitude=0.7923, Ratio=0.92x limit
  Segment 10: Magnitude=2.9770, Ratio=1.71x limit
  Segment 10: Magnitude=2.5804, Ratio=1.08x limit
  Segment 11: Magnitude=0.8692, Ratio=1.01x limit
  Segment 11: Magnitude=3.5607, Ratio=2.04x limit
  Segment 11: Magnitude=2.9647, Ratio=1.24x limit
  Segment 12: Magnitude=0.7099, Ratio=1.13x limit
  Segment 12: Magnitude=0.8907, Ratio=1.03x limit
  Segment 12: Magnitude=3.2884, Ratio=1.88x limit
  Segment 12: Magnitude=2.6467, Ratio=1.10x limit
  Segment 13: Magnitude=0.6334, Ratio=1.01x limit
  Segment 13: Magnitude=0.8798, Ratio=1.02x limit
  Segment 13: Magnitude=3.3602, Ratio=1.93x limit
  Segment 13: Magnitude=2.6794, Ratio=1.12x limit
  Segment 14: Magnitude=0.8397, Ratio=0.97x limit
  Segment 14: Magnitude=3.5231, Ratio=2.02x limit
  Segment 14: Magnitude=2.7410, Ratio=1.14x limit
  Segment 15: Magnitude=0.5722, Ratio=0.91x limit
  Segment 15: Magnitude=0.8295, Ratio=0.96x limit
  Segment 15: Magnitude=3.1810, Ratio=1.82x limit
  Segment 15: Magnitude=2.4155, Ratio=1.01x limit
  Segment 16: Magnitude=0.5623, Ratio=0.89x limit
  Segment 16: Magnitude=2.5443, Ratio=1.46x limit
  Segment 17: Magnitude=0.5657, Ratio=0.90x limit
  Segment 17: Magnitude=2.4903, Ratio=1.43x limit
  Segment 18: Magnitude=2.7967, Ratio=1.60x limit
  Segment 18: Magnitude=2.1009, Ratio=0.88x limit
  Segment 19: Magnitude=0.6201, Ratio=0.99x limit
  Segment 19: Magnitude=0.8066, Ratio=0.94x limit
  Segment 19: Magnitude=2.8070, Ratio=1.61x limit
  Segment 19: Magnitude=2.2119, Ratio=0.92x limit
  Segment 20: Magnitude=0.7870, Ratio=1.25x limit
  Segment 20: Magnitude=3.0563, Ratio=1.75x limit
  Segment 20: Magnitude=2.3703, Ratio=0.99x limit
  Segment 21: Magnitude=2.5455, Ratio=1.46x limit
  Segment 21: Magnitude=2.0774, Ratio=0.87x limit
  Segment 26: Magnitude=1.8783, Ratio=1.08x limit
  Segment 27: Magnitude=1.0128, Ratio=1.61x limit
  Segment 27: Magnitude=0.8443, Ratio=0.98x limit
  Segment 27: Magnitude=3.2951, Ratio=1.89x limit
  Segment 27: Magnitude=2.7364, Ratio=1.14x limit
  Segment 28: Magnitude=0.8511, Ratio=0.99x limit
  Segment 28: Magnitude=4.5518, Ratio=2.61x limit
  Segment 28: Magnitude=3.4527, Ratio=1.44x limit
  Segment 29: Magnitude=1.4423, Ratio=2.30x limit
  Segment 29: Magnitude=1.1132, Ratio=1.29x limit
  Segment 29: Magnitude=3.8929, Ratio=2.23x limit
  Segment 29: Magnitude=2.6672, Ratio=1.11x limit
  Segment 30: Magnitude=0.8557, Ratio=0.99x limit
  Segment 30: Magnitude=4.0049, Ratio=2.29x limit
  Segment 30: Magnitude=2.6396, Ratio=1.10x limit
  Segment 31: Magnitude=0.8069, Ratio=0.94x limit
  Segment 31: Magnitude=3.9196, Ratio=2.25x limit
  Segment 31: Magnitude=2.6199, Ratio=1.09x limit
  Segment 32: Magnitude=1.1058, Ratio=1.76x limit
  Segment 32: Magnitude=0.9006, Ratio=1.04x limit
  Segment 32: Magnitude=3.6114, Ratio=2.07x limit
  Segment 32: Magnitude=2.5916, Ratio=1.08x limit
  Segment 33: Magnitude=3.0217, Ratio=1.73x limit
