Continuity Violations Report: Traj_1_[1-84]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 84

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 72: Magnitude=8.4736, Type=velocity_limit, Ratio=0.97x limit
  Segment 73: Magnitude=7.8055, Type=velocity_limit, Ratio=0.89x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=6.7654, Ratio=7.60x limit
  Segment 0: Magnitude=16.1660, Ratio=25.73x limit
  Segment 0: Magnitude=29.2123, Ratio=33.88x limit
  Segment 0: Magnitude=67.9631, Ratio=38.94x limit
  Segment 0: Magnitude=14.8426, Ratio=10.25x limit
  Segment 0: Magnitude=54.8356, Ratio=22.87x limit
  Segment 1: Magnitude=2.2472, Ratio=2.52x limit
  Segment 1: Magnitude=3.7512, Ratio=5.97x limit
  Segment 1: Magnitude=1.9237, Ratio=2.23x limit
  Segment 1: Magnitude=27.2597, Ratio=15.62x limit
  Segment 1: Magnitude=2.4248, Ratio=1.67x limit
  Segment 1: Magnitude=22.7974, Ratio=9.51x limit
  Segment 2: Magnitude=0.5796, Ratio=0.92x limit
  Segment 2: Magnitude=1.0229, Ratio=1.19x limit
  Segment 2: Magnitude=5.2775, Ratio=3.02x limit
  Segment 2: Magnitude=1.6738, Ratio=1.16x limit
  Segment 2: Magnitude=3.6805, Ratio=1.53x limit
  Segment 3: Magnitude=2.8173, Ratio=3.17x limit
  Segment 3: Magnitude=4.5455, Ratio=7.23x limit
  Segment 3: Magnitude=7.4416, Ratio=8.63x limit
  Segment 3: Magnitude=34.4739, Ratio=19.75x limit
  Segment 3: Magnitude=6.8213, Ratio=4.71x limit
  Segment 3: Magnitude=26.5280, Ratio=11.06x limit
  Segment 4: Magnitude=8.5733, Ratio=9.63x limit
  Segment 4: Magnitude=19.1344, Ratio=30.45x limit
  Segment 4: Magnitude=30.1427, Ratio=34.96x limit
  Segment 4: Magnitude=28.5246, Ratio=16.34x limit
  Segment 4: Magnitude=18.6805, Ratio=12.90x limit
  Segment 4: Magnitude=19.1186, Ratio=7.97x limit
  Segment 5: Magnitude=10.7873, Ratio=12.12x limit
  Segment 5: Magnitude=3.7749, Ratio=6.01x limit
  Segment 5: Magnitude=7.3455, Ratio=8.52x limit
  Segment 5: Magnitude=252.9743, Ratio=144.94x limit
  Segment 5: Magnitude=28.5773, Ratio=19.73x limit
  Segment 5: Magnitude=200.7503, Ratio=83.71x limit
  Segment 6: Magnitude=3.1183, Ratio=3.50x limit
  Segment 6: Magnitude=2.8159, Ratio=4.48x limit
  Segment 6: Magnitude=5.3394, Ratio=6.19x limit
  Segment 6: Magnitude=61.5844, Ratio=35.29x limit
  Segment 6: Magnitude=8.9475, Ratio=6.18x limit
  Segment 6: Magnitude=48.1977, Ratio=20.10x limit
  Segment 7: Magnitude=0.9701, Ratio=1.54x limit
  Segment 7: Magnitude=1.1703, Ratio=1.36x limit
  Segment 7: Magnitude=11.7817, Ratio=6.75x limit
  Segment 7: Magnitude=1.5880, Ratio=1.10x limit
  Segment 7: Magnitude=8.7155, Ratio=3.63x limit
  Segment 8: Magnitude=1.3277, Ratio=2.11x limit
  Segment 8: Magnitude=8.6765, Ratio=4.97x limit
  Segment 8: Magnitude=6.3185, Ratio=2.63x limit
  Segment 9: Magnitude=1.2279, Ratio=1.42x limit
  Segment 9: Magnitude=7.3804, Ratio=4.23x limit
