Continuity Violations Report: Traj_3_[1-84]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 84

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 74: Magnitude=7.7043, Type=velocity_limit, Ratio=0.88x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=2.3769, Ratio=2.67x limit
  Segment 0: Magnitude=6.7034, Ratio=10.67x limit
  Segment 0: Magnitude=14.6482, Ratio=16.99x limit
  Segment 0: Magnitude=47.6768, Ratio=27.32x limit
  Segment 0: Magnitude=8.9464, Ratio=6.18x limit
  Segment 0: Magnitude=35.0662, Ratio=14.62x limit
  Segment 1: Magnitude=0.8293, Ratio=0.93x limit
  Segment 1: Magnitude=2.2029, Ratio=3.51x limit
  Segment 1: Magnitude=6.8709, Ratio=3.94x limit
  Segment 1: Magnitude=2.2116, Ratio=1.53x limit
  Segment 1: Magnitude=5.0560, Ratio=2.11x limit
  Segment 2: Magnitude=1.6513, Ratio=0.95x limit
  Segment 2: Magnitude=1.5761, Ratio=1.09x limit
  Segment 3: Magnitude=1.4196, Ratio=1.59x limit
  Segment 3: Magnitude=1.9089, Ratio=3.04x limit
  Segment 3: Magnitude=2.9749, Ratio=3.45x limit
  Segment 3: Magnitude=17.4854, Ratio=10.02x limit
  Segment 3: Magnitude=2.8499, Ratio=1.97x limit
  Segment 3: Magnitude=14.2574, Ratio=5.95x limit
  Segment 4: Magnitude=6.3777, Ratio=7.17x limit
  Segment 4: Magnitude=9.9770, Ratio=15.88x limit
  Segment 4: Magnitude=15.0194, Ratio=17.42x limit
  Segment 4: Magnitude=62.8376, Ratio=36.00x limit
  Segment 4: Magnitude=13.4704, Ratio=9.30x limit
  Segment 4: Magnitude=50.5779, Ratio=21.09x limit
  Segment 5: Magnitude=3.5577, Ratio=4.00x limit
  Segment 5: Magnitude=13.1840, Ratio=20.98x limit
  Segment 5: Magnitude=19.5616, Ratio=22.69x limit
  Segment 5: Magnitude=89.8021, Ratio=51.45x limit
  Segment 5: Magnitude=2.7749, Ratio=1.92x limit
  Segment 5: Magnitude=66.4072, Ratio=27.69x limit
  Segment 6: Magnitude=9.3333, Ratio=10.49x limit
  Segment 6: Magnitude=8.1236, Ratio=12.93x limit
  Segment 6: Magnitude=9.1535, Ratio=10.62x limit
  Segment 6: Magnitude=173.8060, Ratio=99.58x limit
  Segment 6: Magnitude=17.8314, Ratio=12.31x limit
  Segment 6: Magnitude=137.1495, Ratio=57.19x limit
  Segment 7: Magnitude=2.0721, Ratio=2.33x limit
  Segment 7: Magnitude=0.9405, Ratio=1.50x limit
  Segment 7: Magnitude=3.8409, Ratio=4.45x limit
  Segment 7: Magnitude=47.7896, Ratio=27.38x limit
  Segment 7: Magnitude=7.2437, Ratio=5.00x limit
  Segment 7: Magnitude=38.2876, Ratio=15.97x limit
  Segment 8: Magnitude=1.9230, Ratio=2.16x limit
  Segment 8: Magnitude=2.0848, Ratio=3.32x limit
  Segment 8: Magnitude=2.4279, Ratio=2.82x limit
  Segment 8: Magnitude=30.8351, Ratio=17.67x limit
  Segment 8: Magnitude=3.1773, Ratio=2.19x limit
