Continuity Violations Report: Traj_17_[1-47]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 47

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 30: Magnitude=1.1046, Ratio=1.24x limit
  Segment 30: Magnitude=9.7261, Ratio=15.48x limit
  Segment 30: Magnitude=13.2931, Ratio=15.42x limit
  Segment 30: Magnitude=25.6751, Ratio=14.71x limit
  Segment 30: Magnitude=31.7547, Ratio=21.92x limit
  Segment 31: Magnitude=4.4028, Ratio=4.95x limit
  Segment 31: Magnitude=2.1328, Ratio=3.39x limit
  Segment 31: Magnitude=3.4664, Ratio=4.02x limit
  Segment 31: Magnitude=27.8743, Ratio=15.97x limit
  Segment 31: Magnitude=33.6323, Ratio=23.22x limit
  Segment 32: Magnitude=0.7816, Ratio=0.91x limit
  Segment 34: Magnitude=0.5409, Ratio=0.86x limit
  Segment 35: Magnitude=0.7308, Ratio=1.16x limit
  Segment 35: Magnitude=1.0695, Ratio=1.24x limit
  Segment 36: Magnitude=0.8193, Ratio=0.92x limit
  Segment 36: Magnitude=0.6610, Ratio=1.05x limit
  Segment 36: Magnitude=0.9542, Ratio=1.11x limit
  Segment 36: Magnitude=2.7679, Ratio=1.59x limit
  Segment 36: Magnitude=3.6263, Ratio=2.50x limit
  Segment 37: Magnitude=0.8820, Ratio=0.99x limit
  Segment 37: Magnitude=5.4806, Ratio=3.14x limit
  Segment 37: Magnitude=7.4676, Ratio=5.15x limit
  Segment 38: Magnitude=1.6158, Ratio=1.82x limit
  Segment 38: Magnitude=0.9522, Ratio=1.52x limit
  Segment 38: Magnitude=1.4790, Ratio=1.72x limit
  Segment 38: Magnitude=9.5812, Ratio=5.49x limit
  Segment 38: Magnitude=11.6158, Ratio=8.02x limit
  Segment 39: Magnitude=1.6677, Ratio=1.87x limit
  Segment 39: Magnitude=2.7378, Ratio=4.36x limit
  Segment 39: Magnitude=2.4230, Ratio=2.81x limit
  Segment 39: Magnitude=10.9788, Ratio=6.29x limit
  Segment 39: Magnitude=13.2139, Ratio=9.12x limit
  Segment 40: Magnitude=1.4476, Ratio=1.63x limit
  Segment 40: Magnitude=1.7094, Ratio=2.72x limit
  Segment 40: Magnitude=2.7647, Ratio=3.21x limit
  Segment 40: Magnitude=9.8413, Ratio=5.64x limit
  Segment 40: Magnitude=11.6118, Ratio=8.02x limit
  Segment 41: Magnitude=1.0461, Ratio=1.18x limit
  Segment 41: Magnitude=2.9063, Ratio=4.63x limit
  Segment 41: Magnitude=2.2958, Ratio=2.66x limit
  Segment 41: Magnitude=8.0615, Ratio=4.62x limit
  Segment 41: Magnitude=9.6727, Ratio=6.68x limit
  Segment 42: Magnitude=0.9778, Ratio=1.10x limit
  Segment 42: Magnitude=1.4549, Ratio=2.32x limit
  Segment 42: Magnitude=2.2434, Ratio=2.60x limit
  Segment 42: Magnitude=6.8160, Ratio=3.91x limit
  Segment 42: Magnitude=7.9623, Ratio=5.50x limit
  Segment 43: Magnitude=10.4038, Ratio=16.56x limit
  Segment 43: Magnitude=5.9085, Ratio=6.85x limit
  Segment 43: Magnitude=10.1810, Ratio=5.83x limit
  Segment 43: Magnitude=12.6201, Ratio=8.71x limit
  Segment 43: Magnitude=3.6361, Ratio=1.52x limit
  Segment 44: Magnitude=3.9613, Ratio=4.45x limit
  Segment 44: Magnitude=3.5471, Ratio=5.65x limit
  Segment 44: Magnitude=5.9572, Ratio=6.91x limit
  Segment 44: Magnitude=22.7898, Ratio=13.06x limit
  Segment 44: Magnitude=24.6729, Ratio=17.03x limit
  Segment 44: Magnitude=11.4589, Ratio=4.78x limit
