Continuity Violations Report: Traj_20_[1-97]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 97

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=0.7805, Ratio=0.88x limit
  Segment 0: Magnitude=1.1573, Ratio=1.84x limit
  Segment 0: Magnitude=4.2944, Ratio=4.98x limit
  Segment 0: Magnitude=2.8266, Ratio=1.62x limit
  Segment 0: Magnitude=5.7206, Ratio=3.95x limit
  Segment 1: Magnitude=0.7731, Ratio=0.90x limit
  Segment 1: Magnitude=2.5036, Ratio=1.43x limit
  Segment 1: Magnitude=1.4550, Ratio=1.00x limit
  Segment 2: Magnitude=0.6491, Ratio=1.03x limit
  Segment 6: Magnitude=0.7509, Ratio=1.20x limit
  Segment 6: Magnitude=1.2584, Ratio=0.87x limit
  Segment 7: Magnitude=3.6207, Ratio=5.76x limit
  Segment 7: Magnitude=1.4025, Ratio=1.63x limit
  Segment 7: Magnitude=5.0437, Ratio=3.48x limit
  Segment 8: Magnitude=4.2735, Ratio=6.80x limit
  Segment 8: Magnitude=2.3755, Ratio=1.36x limit
  Segment 8: Magnitude=3.3558, Ratio=2.32x limit
  Segment 8: Magnitude=2.3862, Ratio=1.00x limit
  Segment 9: Magnitude=1.0844, Ratio=1.22x limit
  Segment 9: Magnitude=5.3100, Ratio=8.45x limit
  Segment 9: Magnitude=3.0590, Ratio=3.55x limit
  Segment 9: Magnitude=4.3876, Ratio=2.51x limit
  Segment 9: Magnitude=1.8053, Ratio=1.25x limit
  Segment 9: Magnitude=3.8145, Ratio=1.59x limit
  Segment 10: Magnitude=0.8405, Ratio=0.94x limit
  Segment 10: Magnitude=8.7116, Ratio=13.86x limit
  Segment 10: Magnitude=6.8526, Ratio=7.95x limit
  Segment 10: Magnitude=15.5116, Ratio=10.71x limit
  Segment 10: Magnitude=3.1451, Ratio=1.31x limit
  Segment 11: Magnitude=2.3036, Ratio=2.59x limit
  Segment 11: Magnitude=10.0592, Ratio=11.67x limit
  Segment 11: Magnitude=4.9797, Ratio=2.85x limit
  Segment 11: Magnitude=10.7688, Ratio=7.43x limit
  Segment 11: Magnitude=2.6440, Ratio=1.10x limit
  Segment 18: Magnitude=1.8528, Ratio=1.06x limit
  Segment 19: Magnitude=1.6194, Ratio=0.93x limit
