Continuity Violations Report: Traj_3_[1-82]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 82

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 1: Magnitude=14.6387, Type=velocity_limit, Ratio=1.68x limit
  Segment 1: Magnitude=11.4007, Type=velocity_limit, Ratio=0.95x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=575.1618, Ratio=646.16x limit
  Segment 0: Magnitude=361.4633, Ratio=575.29x limit
  Segment 0: Magnitude=539.2752, Ratio=625.47x limit
  Segment 0: Magnitude=5646.6904, Ratio=3235.32x limit
  Segment 0: Magnitude=513.5078, Ratio=354.48x limit
  Segment 0: Magnitude=4398.9854, Ratio=1834.38x limit
  Segment 1: Magnitude=128.9687, Ratio=144.89x limit
  Segment 1: Magnitude=80.8831, Ratio=128.73x limit
  Segment 1: Magnitude=135.7545, Ratio=157.45x limit
  Segment 1: Magnitude=1213.4647, Ratio=695.26x limit
  Segment 1: Magnitude=126.8474, Ratio=87.56x limit
  Segment 1: Magnitude=944.1490, Ratio=393.71x limit
  Segment 2: Magnitude=3.8025, Ratio=4.27x limit
  Segment 2: Magnitude=3.4938, Ratio=5.56x limit
  Segment 2: Magnitude=53.9935, Ratio=30.94x limit
  Segment 2: Magnitude=7.0086, Ratio=4.84x limit
  Segment 2: Magnitude=42.1663, Ratio=17.58x limit
  Segment 3: Magnitude=5.5275, Ratio=6.21x limit
  Segment 3: Magnitude=6.0527, Ratio=9.63x limit
  Segment 3: Magnitude=5.3658, Ratio=6.22x limit
  Segment 3: Magnitude=62.5715, Ratio=35.85x limit
  Segment 3: Magnitude=16.6581, Ratio=11.50x limit
  Segment 3: Magnitude=47.7816, Ratio=19.92x limit
  Segment 4: Magnitude=2.3287, Ratio=2.62x limit
  Segment 4: Magnitude=24.4168, Ratio=38.86x limit
  Segment 4: Magnitude=7.3016, Ratio=8.47x limit
  Segment 4: Magnitude=68.0742, Ratio=39.00x limit
  Segment 4: Magnitude=21.1408, Ratio=14.59x limit
  Segment 4: Magnitude=51.8092, Ratio=21.60x limit
  Segment 5: Magnitude=3.8929, Ratio=4.37x limit
  Segment 5: Magnitude=4.3045, Ratio=6.85x limit
  Segment 5: Magnitude=4.5854, Ratio=5.32x limit
