Continuity Violations Report: Traj_22_[1-98]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 98

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 63: Magnitude=4.7392, Type=large_step, Details=Step norm 271.5° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 63: Magnitude=62.3985, Type=velocity_limit, Ratio=7.15x limit
  Segment 63: Magnitude=35.1504, Type=velocity_limit, Ratio=4.85x limit
  Segment 63: Magnitude=62.6294, Type=velocity_limit, Ratio=5.22x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=1.9166, Ratio=3.05x limit
  Segment 0: Magnitude=2.0604, Ratio=2.39x limit
  Segment 0: Magnitude=2.2400, Ratio=1.28x limit
  Segment 0: Magnitude=5.5469, Ratio=3.83x limit
  Segment 1: Magnitude=0.8508, Ratio=1.35x limit
  Segment 1: Magnitude=4.0387, Ratio=2.31x limit
  Segment 1: Magnitude=2.2698, Ratio=1.57x limit
  Segment 1: Magnitude=2.9410, Ratio=1.23x limit
  Segment 2: Magnitude=0.6998, Ratio=1.11x limit
  Segment 2: Magnitude=3.0963, Ratio=1.77x limit
  Segment 2: Magnitude=1.6341, Ratio=1.13x limit
  Segment 2: Magnitude=2.3206, Ratio=0.97x limit
  Segment 3: Magnitude=6.1860, Ratio=9.85x limit
  Segment 3: Magnitude=3.8623, Ratio=2.21x limit
  Segment 3: Magnitude=3.1780, Ratio=2.19x limit
  Segment 3: Magnitude=6.7616, Ratio=2.82x limit
  Segment 4: Magnitude=5.2589, Ratio=8.37x limit
  Segment 4: Magnitude=4.7835, Ratio=3.30x limit
  Segment 4: Magnitude=4.3376, Ratio=1.81x limit
  Segment 5: Magnitude=2.1313, Ratio=3.39x limit
  Segment 5: Magnitude=3.2301, Ratio=3.75x limit
  Segment 5: Magnitude=4.6832, Ratio=2.68x limit
  Segment 5: Magnitude=1.4923, Ratio=1.03x limit
  Segment 5: Magnitude=6.4249, Ratio=2.68x limit
  Segment 6: Magnitude=0.7818, Ratio=0.91x limit
  Segment 6: Magnitude=1.7395, Ratio=1.00x limit
  Segment 7: Magnitude=1.5465, Ratio=2.46x limit
  Segment 7: Magnitude=2.0162, Ratio=2.34x limit
  Segment 7: Magnitude=3.5642, Ratio=2.04x limit
  Segment 7: Magnitude=4.5592, Ratio=1.90x limit
  Segment 9: Magnitude=2.2343, Ratio=3.56x limit
  Segment 9: Magnitude=0.7807, Ratio=0.91x limit
  Segment 9: Magnitude=2.1417, Ratio=1.23x limit
  Segment 9: Magnitude=1.3509, Ratio=0.93x limit
  Segment 9: Magnitude=3.3603, Ratio=1.40x limit
  Segment 10: Magnitude=0.6214, Ratio=0.99x limit
  Segment 11: Magnitude=1.1117, Ratio=1.77x limit
  Segment 11: Magnitude=1.4681, Ratio=1.01x limit
  Segment 62: Magnitude=1236.9682, Ratio=708.73x limit
  Segment 62: Magnitude=696.3820, Ratio=480.72x limit
  Segment 62: Magnitude=1236.9461, Ratio=515.81x limit
  Segment 63: Magnitude=1295.5723, Ratio=742.31x limit
  Segment 63: Magnitude=714.5224, Ratio=493.24x limit
  Segment 63: Magnitude=1295.6072, Ratio=540.27x limit
  Segment 69: Magnitude=1.5487, Ratio=0.89x limit
  Segment 70: Magnitude=0.6266, Ratio=1.00x limit
  Segment 70: Magnitude=0.8615, Ratio=1.00x limit
  Segment 70: Magnitude=2.3975, Ratio=1.37x limit
  Segment 70: Magnitude=1.2454, Ratio=0.86x limit
  Segment 71: Magnitude=0.7618, Ratio=1.21x limit
  Segment 71: Magnitude=1.0553, Ratio=1.22x limit
  Segment 71: Magnitude=2.6067, Ratio=1.49x limit
  Segment 71: Magnitude=1.6609, Ratio=1.15x limit
  Segment 72: Magnitude=0.8731, Ratio=1.39x limit
  Segment 72: Magnitude=1.1651, Ratio=1.35x limit
  Segment 72: Magnitude=2.7776, Ratio=1.59x limit
  Segment 72: Magnitude=1.8651, Ratio=1.29x limit
  Segment 73: Magnitude=0.9578, Ratio=1.52x limit
  Segment 73: Magnitude=0.9975, Ratio=1.16x limit
  Segment 73: Magnitude=2.4916, Ratio=1.43x limit
  Segment 73: Magnitude=1.9188, Ratio=1.32x limit
  Segment 74: Magnitude=0.6831, Ratio=1.09x limit
  Segment 74: Magnitude=0.8858, Ratio=1.03x limit
  Segment 74: Magnitude=2.0490, Ratio=1.17x limit
  Segment 74: Magnitude=1.4291, Ratio=0.99x limit
  Segment 75: Magnitude=0.5672, Ratio=0.90x limit
  Segment 75: Magnitude=0.7385, Ratio=0.86x limit
  Segment 75: Magnitude=1.7982, Ratio=1.03x limit
  Segment 75: Magnitude=1.2732, Ratio=0.88x limit
  Segment 82: Magnitude=1.1779, Ratio=1.87x limit
  Segment 82: Magnitude=2.1481, Ratio=0.90x limit
  Segment 83: Magnitude=1.1434, Ratio=1.82x limit
  Segment 84: Magnitude=4.0002, Ratio=6.37x limit
  Segment 84: Magnitude=1.3201, Ratio=1.53x limit
  Segment 84: Magnitude=2.4444, Ratio=1.40x limit
  Segment 84: Magnitude=2.9118, Ratio=2.01x limit
  Segment 84: Magnitude=5.2507, Ratio=2.19x limit
  Segment 85: Magnitude=1.5969, Ratio=2.54x limit
  Segment 85: Magnitude=2.5518, Ratio=2.96x limit
  Segment 85: Magnitude=3.1062, Ratio=2.14x limit
  Segment 85: Magnitude=3.5582, Ratio=1.48x limit
  Segment 86: Magnitude=1.7073, Ratio=2.72x limit
  Segment 86: Magnitude=3.2471, Ratio=3.77x limit
  Segment 86: Magnitude=1.9837, Ratio=1.14x limit
  Segment 86: Magnitude=2.9582, Ratio=2.04x limit
  Segment 86: Magnitude=4.7543, Ratio=1.98x limit
  Segment 87: Magnitude=1.0627, Ratio=1.69x limit
  Segment 87: Magnitude=1.0264, Ratio=1.19x limit
  Segment 87: Magnitude=1.7308, Ratio=0.99x limit
  Segment 87: Magnitude=2.4828, Ratio=1.04x limit
  Segment 88: Magnitude=0.7698, Ratio=1.23x limit
  Segment 89: Magnitude=6.8864, Ratio=10.96x limit
  Segment 89: Magnitude=5.4741, Ratio=3.14x limit
  Segment 89: Magnitude=1.8380, Ratio=1.27x limit
  Segment 89: Magnitude=8.0859, Ratio=3.37x limit
  Segment 90: Magnitude=5.6418, Ratio=8.98x limit
  Segment 90: Magnitude=1.0266, Ratio=1.19x limit
  Segment 90: Magnitude=2.8338, Ratio=1.62x limit
  Segment 90: Magnitude=1.9129, Ratio=1.32x limit
  Segment 90: Magnitude=4.9382, Ratio=2.06x limit
  Segment 91: Magnitude=1.3880, Ratio=2.21x limit
  Segment 92: Magnitude=3.3765, Ratio=5.37x limit
  Segment 92: Magnitude=4.3463, Ratio=5.04x limit
  Segment 92: Magnitude=3.0078, Ratio=1.72x limit
  Segment 92: Magnitude=4.5838, Ratio=3.16x limit
  Segment 92: Magnitude=7.3795, Ratio=3.08x limit
  Segment 93: Magnitude=4.6749, Ratio=7.44x limit
  Segment 93: Magnitude=4.9477, Ratio=5.74x limit
  Segment 93: Magnitude=4.9581, Ratio=2.84x limit
  Segment 93: Magnitude=4.7033, Ratio=3.25x limit
  Segment 93: Magnitude=9.8256, Ratio=4.10x limit
  Segment 94: Magnitude=5.9994, Ratio=9.55x limit
  Segment 94: Magnitude=3.0387, Ratio=3.52x limit
  Segment 94: Magnitude=2.6196, Ratio=1.50x limit
  Segment 94: Magnitude=3.5841, Ratio=1.49x limit
