Continuity Violations Report: Traj_24_[1-102]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 102

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 8: Magnitude=7.5261, Type=velocity_limit, Ratio=0.86x limit

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=1.6952, Ratio=1.90x limit
  Segment 0: Magnitude=2.6783, Ratio=3.11x limit
  Segment 0: Magnitude=6.6885, Ratio=3.83x limit
  Segment 0: Magnitude=1.6713, Ratio=1.15x limit
  Segment 0: Magnitude=7.0399, Ratio=2.94x limit
  Segment 1: Magnitude=1.0102, Ratio=1.61x limit
  Segment 1: Magnitude=5.4688, Ratio=3.13x limit
  Segment 1: Magnitude=6.6501, Ratio=2.77x limit
  Segment 2: Magnitude=0.9403, Ratio=1.09x limit
  Segment 2: Magnitude=3.9287, Ratio=2.25x limit
  Segment 2: Magnitude=2.4488, Ratio=1.69x limit
  Segment 2: Magnitude=5.0369, Ratio=2.10x limit
  Segment 3: Magnitude=1.6634, Ratio=0.95x limit
  Segment 3: Magnitude=1.2447, Ratio=0.86x limit
  Segment 3: Magnitude=2.1649, Ratio=0.90x limit
  Segment 6: Magnitude=0.9232, Ratio=1.47x limit
  Segment 6: Magnitude=3.3717, Ratio=1.93x limit
  Segment 6: Magnitude=1.3765, Ratio=0.95x limit
  Segment 6: Magnitude=3.2760, Ratio=1.37x limit
  Segment 7: Magnitude=82.2366, Ratio=92.39x limit
  Segment 7: Magnitude=94.9543, Ratio=151.12x limit
  Segment 7: Magnitude=123.2377, Ratio=142.94x limit
  Segment 7: Magnitude=653.1174, Ratio=374.21x limit
  Segment 7: Magnitude=28.3721, Ratio=19.59x limit
  Segment 7: Magnitude=608.7132, Ratio=253.83x limit
  Segment 8: Magnitude=139.4948, Ratio=156.71x limit
  Segment 8: Magnitude=186.4516, Ratio=296.75x limit
  Segment 8: Magnitude=249.8068, Ratio=289.73x limit
  Segment 8: Magnitude=1034.5828, Ratio=592.77x limit
  Segment 8: Magnitude=5.2418, Ratio=3.62x limit
  Segment 8: Magnitude=955.5958, Ratio=398.48x limit
  Segment 9: Magnitude=1.7109, Ratio=2.72x limit
  Segment 9: Magnitude=2.4182, Ratio=1.39x limit
  Segment 9: Magnitude=4.2663, Ratio=2.95x limit
  Segment 9: Magnitude=4.8572, Ratio=2.03x limit
  Segment 10: Magnitude=5.2920, Ratio=5.95x limit
  Segment 10: Magnitude=1.7569, Ratio=2.80x limit
  Segment 10: Magnitude=13.6376, Ratio=15.82x limit
  Segment 10: Magnitude=52.2240, Ratio=29.92x limit
  Segment 10: Magnitude=19.0124, Ratio=13.12x limit
  Segment 10: Magnitude=32.8050, Ratio=13.68x limit
  Segment 11: Magnitude=12.0981, Ratio=13.59x limit
  Segment 11: Magnitude=20.2291, Ratio=32.20x limit
  Segment 11: Magnitude=11.2322, Ratio=13.03x limit
  Segment 11: Magnitude=129.1428, Ratio=73.99x limit
  Segment 11: Magnitude=11.7972, Ratio=8.14x limit
  Segment 11: Magnitude=126.8857, Ratio=52.91x limit
  Segment 12: Magnitude=2.4030, Ratio=2.70x limit
  Segment 12: Magnitude=3.1814, Ratio=5.06x limit
  Segment 12: Magnitude=3.9577, Ratio=4.59x limit
  Segment 12: Magnitude=31.1759, Ratio=17.86x limit
  Segment 12: Magnitude=1.5778, Ratio=1.09x limit
  Segment 12: Magnitude=23.3453, Ratio=9.73x limit
  Segment 13: Magnitude=4.0671, Ratio=2.33x limit
  Segment 13: Magnitude=3.0198, Ratio=1.26x limit
  Segment 15: Magnitude=1.7973, Ratio=1.03x limit
  Segment 16: Magnitude=3.6492, Ratio=2.09x limit
  Segment 16: Magnitude=2.4958, Ratio=1.04x limit
  Segment 17: Magnitude=5.3248, Ratio=3.05x limit
  Segment 17: Magnitude=3.6068, Ratio=1.50x limit
  Segment 18: Magnitude=4.6864, Ratio=2.69x limit
  Segment 18: Magnitude=3.2851, Ratio=1.37x limit
  Segment 19: Magnitude=1.9905, Ratio=1.14x limit
  Segment 20: Magnitude=1.6151, Ratio=0.93x limit
  Segment 21: Magnitude=2.6700, Ratio=1.53x limit
  Segment 21: Magnitude=2.3125, Ratio=0.96x limit
  Segment 22: Magnitude=2.4491, Ratio=1.40x limit
  Segment 35: Magnitude=2.1342, Ratio=1.22x limit
  Segment 36: Magnitude=3.7455, Ratio=2.15x limit
  Segment 36: Magnitude=2.3167, Ratio=0.97x limit
  Segment 37: Magnitude=0.9553, Ratio=1.52x limit
  Segment 37: Magnitude=1.5138, Ratio=1.76x limit
  Segment 37: Magnitude=4.9976, Ratio=2.86x limit
  Segment 37: Magnitude=1.6886, Ratio=1.17x limit
  Segment 37: Magnitude=3.5981, Ratio=1.50x limit
  Segment 38: Magnitude=1.5661, Ratio=2.49x limit
  Segment 38: Magnitude=2.1597, Ratio=2.50x limit
  Segment 38: Magnitude=3.9405, Ratio=2.26x limit
  Segment 38: Magnitude=2.6118, Ratio=1.80x limit
  Segment 38: Magnitude=3.6745, Ratio=1.53x limit
  Segment 39: Magnitude=1.2947, Ratio=2.06x limit
  Segment 39: Magnitude=1.7076, Ratio=1.98x limit
  Segment 39: Magnitude=2.3513, Ratio=1.62x limit
  Segment 40: Magnitude=0.7655, Ratio=1.22x limit
  Segment 40: Magnitude=0.9591, Ratio=1.11x limit
  Segment 40: Magnitude=1.3757, Ratio=0.95x limit
  Segment 68: Magnitude=1.0307, Ratio=1.16x limit
  Segment 68: Magnitude=0.8832, Ratio=1.02x limit
  Segment 68: Magnitude=1.7163, Ratio=1.18x limit
  Segment 68: Magnitude=2.2971, Ratio=0.96x limit
  Segment 69: Magnitude=1.2372, Ratio=1.39x limit
  Segment 69: Magnitude=1.0348, Ratio=1.65x limit
  Segment 69: Magnitude=2.1839, Ratio=2.53x limit
  Segment 69: Magnitude=5.1055, Ratio=2.93x limit
  Segment 70: Magnitude=1.5633, Ratio=2.49x limit
  Segment 70: Magnitude=2.4381, Ratio=2.83x limit
  Segment 70: Magnitude=7.0534, Ratio=4.04x limit
  Segment 70: Magnitude=5.0147, Ratio=2.09x limit
  Segment 71: Magnitude=1.1378, Ratio=1.81x limit
  Segment 71: Magnitude=1.6079, Ratio=1.86x limit
  Segment 71: Magnitude=5.3036, Ratio=3.04x limit
  Segment 71: Magnitude=1.3825, Ratio=0.95x limit
  Segment 71: Magnitude=5.1330, Ratio=2.14x limit
  Segment 72: Magnitude=0.7301, Ratio=1.16x limit
  Segment 72: Magnitude=0.9552, Ratio=1.11x limit
  Segment 72: Magnitude=2.7456, Ratio=1.57x limit
  Segment 72: Magnitude=2.9389, Ratio=1.23x limit
  Segment 77: Magnitude=0.6561, Ratio=1.04x limit
  Segment 77: Magnitude=0.7500, Ratio=0.87x limit
  Segment 77: Magnitude=2.3103, Ratio=1.32x limit
  Segment 77: Magnitude=1.4874, Ratio=1.03x limit
  Segment 77: Magnitude=3.0086, Ratio=1.25x limit
  Segment 78: Magnitude=0.7070, Ratio=1.13x limit
  Segment 78: Magnitude=3.3313, Ratio=1.91x limit
  Segment 78: Magnitude=2.6127, Ratio=1.80x limit
  Segment 78: Magnitude=4.2906, Ratio=1.79x limit
  Segment 79: Magnitude=0.6331, Ratio=1.01x limit
  Segment 79: Magnitude=3.1419, Ratio=1.80x limit
  Segment 79: Magnitude=2.6234, Ratio=1.81x limit
  Segment 79: Magnitude=3.9972, Ratio=1.67x limit
  Segment 80: Magnitude=2.0536, Ratio=1.18x limit
  Segment 80: Magnitude=1.6940, Ratio=1.17x limit
  Segment 80: Magnitude=2.8256, Ratio=1.18x limit
  Segment 83: Magnitude=0.5341, Ratio=0.85x limit
  Segment 83: Magnitude=4.2529, Ratio=2.44x limit
  Segment 83: Magnitude=3.9195, Ratio=2.71x limit
  Segment 83: Magnitude=5.0314, Ratio=2.10x limit
  Segment 84: Magnitude=1.5715, Ratio=1.77x limit
  Segment 84: Magnitude=1.7181, Ratio=2.73x limit
  Segment 84: Magnitude=1.0737, Ratio=1.25x limit
  Segment 84: Magnitude=12.3312, Ratio=7.07x limit
  Segment 84: Magnitude=10.7911, Ratio=7.45x limit
  Segment 84: Magnitude=13.5781, Ratio=5.66x limit
  Segment 85: Magnitude=1.6793, Ratio=1.89x limit
  Segment 85: Magnitude=3.7564, Ratio=5.98x limit
  Segment 85: Magnitude=3.6438, Ratio=4.23x limit
  Segment 85: Magnitude=25.3464, Ratio=14.52x limit
  Segment 85: Magnitude=20.0407, Ratio=13.83x limit
  Segment 85: Magnitude=23.3358, Ratio=9.73x limit
  Segment 86: Magnitude=0.8884, Ratio=1.00x limit
  Segment 86: Magnitude=1.9674, Ratio=3.13x limit
  Segment 86: Magnitude=3.1862, Ratio=3.70x limit
  Segment 86: Magnitude=16.7128, Ratio=9.58x limit
  Segment 86: Magnitude=10.9209, Ratio=7.54x limit
  Segment 86: Magnitude=8.6030, Ratio=3.59x limit
  Segment 87: Magnitude=2.4238, Ratio=2.72x limit
  Segment 87: Magnitude=3.9690, Ratio=6.32x limit
  Segment 87: Magnitude=5.5649, Ratio=6.45x limit
  Segment 87: Magnitude=3.5088, Ratio=2.01x limit
  Segment 87: Magnitude=6.2259, Ratio=4.30x limit
  Segment 87: Magnitude=3.0178, Ratio=1.26x limit
  Segment 88: Magnitude=5.0402, Ratio=5.66x limit
  Segment 88: Magnitude=17.4915, Ratio=27.84x limit
  Segment 88: Magnitude=13.2274, Ratio=15.34x limit
  Segment 88: Magnitude=63.9024, Ratio=36.61x limit
  Segment 88: Magnitude=55.7164, Ratio=38.46x limit
  Segment 88: Magnitude=59.4960, Ratio=24.81x limit
  Segment 89: Magnitude=3.0244, Ratio=3.40x limit
  Segment 89: Magnitude=2.1912, Ratio=3.49x limit
  Segment 89: Magnitude=1.7904, Ratio=2.08x limit
  Segment 89: Magnitude=17.4845, Ratio=10.02x limit
  Segment 89: Magnitude=14.9398, Ratio=10.31x limit
  Segment 89: Magnitude=21.5905, Ratio=9.00x limit
  Segment 90: Magnitude=1.8487, Ratio=1.06x limit
  Segment 90: Magnitude=1.7671, Ratio=1.22x limit
  Segment 93: Magnitude=1.3156, Ratio=0.91x limit
  Segment 94: Magnitude=3.7992, Ratio=4.27x limit
  Segment 94: Magnitude=3.8933, Ratio=6.20x limit
