Continuity Violations Report: Traj_3_[1-111]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 111

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  None

C2 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=0.7431, Ratio=0.86x limit
  Segment 5: Magnitude=0.9023, Ratio=1.05x limit
  Segment 6: Magnitude=1.0386, Ratio=1.20x limit
  Segment 7: Magnitude=1.1869, Ratio=1.38x limit
  Segment 7: Magnitude=1.4744, Ratio=1.02x limit
  Segment 8: Magnitude=0.6999, Ratio=1.11x limit
  Segment 8: Magnitude=0.8465, Ratio=0.98x limit
  Segment 8: Magnitude=1.3999, Ratio=0.97x limit
  Segment 27: Magnitude=1.5615, Ratio=0.89x limit
  Segment 29: Magnitude=1.9152, Ratio=1.10x limit
  Segment 30: Magnitude=2.4471, Ratio=1.40x limit
  Segment 31: Magnitude=3.1374, Ratio=1.80x limit
  Segment 31: Magnitude=2.4192, Ratio=1.01x limit
  Segment 32: Magnitude=0.7481, Ratio=1.19x limit
  Segment 32: Magnitude=0.7497, Ratio=0.87x limit
  Segment 32: Magnitude=4.5458, Ratio=2.60x limit
  Segment 32: Magnitude=3.4311, Ratio=1.43x limit
  Segment 33: Magnitude=0.9397, Ratio=1.50x limit
  Segment 33: Magnitude=1.2560, Ratio=1.46x limit
  Segment 33: Magnitude=7.3345, Ratio=4.20x limit
  Segment 33: Magnitude=5.5914, Ratio=2.33x limit
  Segment 34: Magnitude=1.0406, Ratio=1.17x limit
  Segment 34: Magnitude=1.3133, Ratio=2.09x limit
  Segment 34: Magnitude=2.1213, Ratio=2.46x limit
  Segment 34: Magnitude=11.4463, Ratio=6.56x limit
  Segment 34: Magnitude=8.7768, Ratio=3.66x limit
  Segment 35: Magnitude=2.3439, Ratio=2.63x limit
  Segment 35: Magnitude=3.1657, Ratio=5.04x limit
  Segment 35: Magnitude=4.3477, Ratio=5.04x limit
  Segment 35: Magnitude=24.7074, Ratio=14.16x limit
  Segment 35: Magnitude=1.6049, Ratio=1.11x limit
  Segment 35: Magnitude=18.8715, Ratio=7.87x limit
  Segment 36: Magnitude=5.1037, Ratio=5.73x limit
  Segment 36: Magnitude=7.1693, Ratio=11.41x limit
  Segment 36: Magnitude=9.9005, Ratio=11.48x limit
  Segment 36: Magnitude=55.5674, Ratio=31.84x limit
  Segment 36: Magnitude=3.4488, Ratio=2.38x limit
  Segment 36: Magnitude=42.4690, Ratio=17.71x limit
  Segment 37: Magnitude=18.6048, Ratio=20.90x limit
  Segment 37: Magnitude=25.5743, Ratio=40.70x limit
  Segment 37: Magnitude=35.3182, Ratio=40.96x limit
  Segment 37: Magnitude=201.6765, Ratio=115.55x limit
  Segment 37: Magnitude=12.3683, Ratio=8.54x limit
  Segment 37: Magnitude=154.1659, Ratio=64.29x limit
  Segment 38: Magnitude=137.5309, Ratio=154.51x limit
  Segment 38: Magnitude=184.4276, Ratio=293.53x limit
