waypoint_index,solution_index,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,cf1,cf4,cf6,cfx,is_selected
0,0,-17.60444259593439,17.584047873423387,-27.08171881378809,176.81349959785507,56.73847768504728,-73.65665382049625,-1,1,-1,6,0
0,1,-17.60444259593439,17.584047873423387,-27.08171881378809,-3.1865004021449357,-56.73847768504728,106.34334617950377,-1,-1,1,7,1
1,0,-17.620155892024293,17.513353314019366,-26.951115290529042,176.74333877203776,56.908690546726234,-73.5323591136214,-1,1,-1,6,0
1,1,-17.620155892024293,17.513353314019366,-26.951115290529042,-3.256661227962253,-56.908690546726234,106.46764088637862,-1,-1,1,7,1
2,0,-17.635832592781785,17.44279398700097,-26.820849781529585,176.67367597005787,57.07883354284309,-73.40858773064221,-1,1,-1,6,0
2,1,-17.635832592781785,17.44279398700097,-26.820849781529585,-3.326324029942146,-57.07883354284309,106.5914122693578,-1,-1,1,7,1
3,0,-17.651472663890488,17.37236798837189,-26.69091918083814,176.60450687499022,57.248906283313175,-73.2853348625692,-1,1,-1,6,0
3,1,-17.651472663890488,17.37236798837189,-26.69091918083814,-3.395493125009784,-57.248906283313175,106.7146651374308,-1,-1,1,7,1
4,0,-17.66707607223797,17.302073431126914,-26.56132041343064,176.5358272253626,57.41890837713083,-73.16259575852098,-1,1,-1,6,0
4,1,-17.66707607223797,17.302073431126914,-26.56132041343064,-3.464172774637399,-57.41890837713083,106.83740424147904,-1,-1,1,7,1
5,0,-17.682642785915995,17.231908445003718,-26.432050434740457,176.4676328142553,57.58883943240444,-73.04036572477021,-1,1,-1,6,0
5,1,-17.682642785915995,17.231908445003718,-26.432050434740457,-3.5323671857447043,-57.58883943240444,106.9596342752298,-1,-1,1,7,1
6,0,-17.69817277422089,17.161871176239828,-26.303106230198175,176.39991948841896,57.758699056390675,-72.91864012380934,-1,1,-1,6,0
6,1,-17.69817277422089,17.161871176239828,-26.303106230198175,-3.6000805115810377,-57.758699056390675,107.08135987619067,-1,-1,1,7,1
7,0,-17.713666007653657,17.09195978733533,-26.17448481478186,176.33268314741042,57.928486855527524,-72.7974143734346,-1,1,-1,6,0
7,1,-17.713666007653657,17.09195978733533,-26.17448481478186,-3.66731685258959,-57.928486855527524,107.20258562656541,-1,-1,1,7,1
8,0,-17.729122457920234,17.022172456820158,-26.046183232576283,176.2659197427458,58.098202435466995,-72.67668394584845,-1,1,-1,6,0
8,1,-17.729122457920234,17.022172456820158,-26.046183232576283,-3.7340802572542087,-58.098202435466995,107.32331605415156,-1,-1,1,7,1
9,0,-17.74454209793151,16.95250737902682,-25.91819855634201,176.19962527707088,58.26784540110661,-72.55644436677991,-1,1,-1,6,0
9,1,-17.74454209793151,16.95250737902682,-25.91819855634201,-3.8003747229291194,-58.26784540110661,107.44355563322009,-1,-1,1,7,1
10,0,-17.759924901803434,16.882962763867987,-25.790527887093784,176.13379580334785,58.43741535662015,-72.43669121462197,-1,1,-1,6,0
10,1,-17.759924901803434,16.882962763867987,-25.790527887093784,-3.8662041966521534,-58.43741535662015,107.56330878537803,-1,-1,1,7,1
11,0,-17.775270844856948,16.813536836618688,-25.663168353687528,176.06842742405848,58.606911905487856,-72.31742011958644,-1,1,-1,6,0
11,1,-17.775270844856948,16.813536836618688,-25.663168353687528,-3.93157257594153,-58.606911905487856,107.68257988041356,-1,-1,1,7,1
12,0,-17.790579903617992,16.7442278377032,-25.536117112416132,176.00351629042297,58.77633465052562,-72.19862676287495,-1,1,-1,6,0
12,1,-17.790579903617992,16.7442278377032,-25.536117112416132,-3.996483709577043,-58.77633465052562,107.80137323712505,-1,-1,1,7,1
13,0,-17.80585205581731,16.675034022486678,-25.409371346614144,175.9390586016344,58.945683193913545,-72.08030687586631,-1,1,-1,6,0
13,1,-17.80585205581731,16.675034022486678,-25.409371346614144,-4.0609413983656095,-58.945683193913545,107.9196931241337,-1,-1,1,7,1
14,0,-17.821087280390323,16.60595366107095,-25.282928266270318,175.87505060410825,59.114957137223726,-71.96245623931979,-1,1,-1,6,0
14,1,-17.821087280390323,16.60595366107095,-25.282928266270318,-4.124949395891757,-59.114957137223726,108.03754376068022,-1,-1,1,7,1
15,0,-17.836285557476884,16.536985038094667,-25.156785107648293,175.8114885907466,59.284156081447705,-71.84507068259357,-1,1,-1,6,0
15,1,-17.836285557476884,16.536985038094667,-25.156785107648293,-4.188511409253413,-59.284156081447705,108.15492931740643,-1,-1,1,7,1
16,0,-17.851446868420986,16.468126452537806,-25.03093913291552,175.7483689002168,59.45327962702253,-71.72814608287855,-1,1,-1,6,0
16,1,-17.851446868420986,16.468126452537806,-25.03093913291552,-4.2516310997832,-59.45327962702253,108.27185391712145,-1,-1,1,7,1
17,0,-17.866571195770423,16.39937621753011,-24.90538762977956,175.68568791624426,59.62232737385691,-71.61167836444643,-1,1,-1,6,0
17,1,-17.866571195770423,16.39937621753011,-24.90538762977956,-4.314312083755753,-59.62232737385691,108.38832163555357,-1,-1,1,7,1
18,0,-17.866571195770423,16.39937621753011,-24.90538762977956,175.68568791624426,59.62232737385691,-71.61167836444643,-1,1,-1,6,0
18,1,-17.866571195770423,16.39937621753011,-24.90538762977956,-4.314312083755753,-59.62232737385691,108.38832163555357,-1,-1,1,7,1
19,0,-17.866571195770423,16.39937621753011,-24.90538762977956,175.68568791624426,59.62232737385691,-71.61167836444643,-1,1,-1,6,0
19,1,-17.866571195770423,16.39937621753011,-24.90538762977956,-4.314312083755753,-59.62232737385691,108.38832163555357,-1,-1,1,7,1
20,0,-17.864591350992615,16.418680539273687,-24.93227120528282,175.72767699307502,59.635647259871085,-71.63369760316547,-1,1,-1,6,0
20,1,-17.864591350992615,16.418680539273687,-24.93227120528282,-4.272323006924984,-59.635647259871085,108.36630239683454,-1,-1,1,7,1
21,0,-17.846987971703573,16.562853219595052,-25.131720542992642,176.0670069269125,59.73289729239682,-71.81206653027968,-1,1,-1,6,0
21,1,-17.846987971703573,16.562853219595052,-25.131720542992642,-3.9329930730874905,-59.73289729239682,108.18793346972032,-1,-1,1,7,1
22,0,-17.826127243054994,16.6828331837729,-25.29472763768892,176.40732384897944,59.8057452448786,-71.99183110723666,-1,1,-1,6,0
22,1,-17.826127243054994,16.6828331837729,-25.29472763768892,-3.592676151020547,-59.8057452448786,108.00816889276335,-1,-1,1,7,1
23,0,-17.805296322545114,16.803324547332068,-25.459020061343423,176.7470337456006,59.87882979053201,-72.17108922257314,-1,1,-1,6,0
23,1,-17.805296322545114,16.803324547332068,-25.459020061343423,-3.252966254399423,-59.87882979053201,107.82891077742686,-1,-1,1,7,1
24,0,-17.77220890741117,16.930495791540864,-25.626797792369228,177.21574071867286,59.93755957479443,-72.41993850666188,-1,1,-1,6,0
24,1,-17.77220890741117,16.930495791540864,-25.626797792369228,-2.7842592813271487,-59.93755957479443,107.5800614933381,-1,-1,1,7,1
25,0,-17.73911467155763,17.05846580535061,-25.796553247611428,177.68376898340622,59.9970733895372,-72.66830870649919,-1,1,-1,6,0
25,1,-17.73911467155763,17.05846580535061,-25.796553247611428,-2.316231016593781,-59.9970733895372,107.33169129350081,-1,-1,1,7,1
26,0,-17.698807490285816,17.16281228374473,-25.928188979885473,178.20723752841505,60.01643861194445,-72.94761562507328,-1,1,-1,6,0
26,1,-17.698807490285816,17.16281228374473,-25.928188979885473,-1.792762471584967,-60.01643861194445,107.05238437492672,-1,-1,1,7,1
27,0,-17.658409491449596,17.267999586275796,-26.061913648274945,178.7304571929146,60.037050569457755,-73.22693348417609,-1,1,-1,6,0
27,1,-17.658409491449596,17.267999586275796,-26.061913648274945,-1.2695428070853825,-60.037050569457755,106.77306651582393,-1,-1,1,7,1
28,0,-17.614594158506794,17.34353854458891,-26.15046705442032,179.27550431960537,60.01062491628586,-73.5191835172836,-1,1,-1,6,0
28,1,-17.614594158506794,17.34353854458891,-26.15046705442032,-0.7244956803946296,-60.01062491628586,106.4808164827164,-1,-1,1,7,1
